Players,Price,Total pts,Selected,MD pts,Pts per €,Pts per MD,PotM pts,Goals,Assists,Balls recovered,Clean sheets,Red cards,Yellow cards,Mins played,Trans in,Trans out,img_url,Next Match,Position
K. Mbappé,11.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9715.0,2632.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250076574.jpg?v=0.05,AUT v FRA,FWD
H. Kane,11.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10142.0,4501.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250016833.jpg?v=0.05,SRB v ENG,FWD
C. Ronaldo,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3962.0,5013.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/63706.jpg?v=0.05,POR v CZE,FWD
J. Bellingham,9.5,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7235.0,6766.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,MID
K. De Bruyne,9.5,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5474.0,6343.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,BEL v SVK,MID
R. Lewandowski,9.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,1801.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250002096.jpg?v=0.05,POL v NED,FWD
P. Foden,9.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9238.0,5329.0,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.07,SRB v ENG,MID
B. Fernandes,9.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7303.0,4160.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078886.jpg?v=0.05,POR v CZE,MID
R. Lukaku,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6159.0,3738.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250010802.jpg?v=0.05,BEL v SVK,FWD
A. Griezmann,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.0,3426.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250019498.jpg?v=0.05,AUT v FRA,FWD
J. Musiala,8.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5217.0,5480.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250124430.jpg?v=0.05,GER v SCO,MID
B. Saka,8.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4190.0,4336.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250106939.jpg?v=0.05,SRB v ENG,MID
R. Leão,8.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364.0,4205.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089228.jpg?v=0.05,POR v CZE,FWD
B. Silva,8.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.0,2325.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250059115.jpg?v=0.05,POR v CZE,MID
J. Félix,8.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,1879.0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101463.jpg?v=0.05,POR v CZE,FWD
