Name,url,Active,Years Played,Position,Clubs Played,IOC
Kristal Abazaj,/en/players/c9bc334c/Kristal-Abazaj,True,2018-2023,FW,"Osijek, İstanbulspor",ALB
Alessio Abibi,/en/players/cd5069b8/Alessio-Abibi,True,2015-2023,GK,,ALB
Amir Abrashi,/en/players/1c08a3c8/Amir-Abrashi,True,2010-2024,MF,"Grasshopper, Albania, Freiburg, Basel",ALB
Albion Ademi,/en/players/424471b0/Albion-Ademi,True,2016-2024,"FW,MF","Tianjin Jinmen Tiger, Inter Turku, Värnamo, IFK Mariehamn, Lahti, PS Kemi Kings, Djurgården",ALB
Valon Ahmedi,/en/players/5d91cf0f/Valon-Ahmedi,True,2017-2020,"FW,MF","Inter Zaprešić, NK Maribor",ALB
Arlind Ajeti,/en/players/f9714604/Arlind-Ajeti,True,2011-2024,DF,"Albania, CFR Cluj, Basel, Reggiana, Crotone, Grasshopper, Frosinone, Torino",ALB
Marco Alia,/en/players/261dfc43/Marco-Alia,True,2018-2021,GK,,ALB
Naser Aliji,/en/players/a183fa26/Naser-Aliji,True,2013-2024,"DF,MF","Voluntari, Albania, Basel, Honvéd, Vaduz, Kaiserslautern, Dinamo București, Virtus Entella",ALB
Franci Alimadhi,/en/players/9529c24b/Franci-Alimadhi,True,2023-2024,MF,FC Espaly,ALB
Albi Alla,/en/players/78e0828e/Albi-Alla,True,2017-2018,DF,,ALB
Fatjon Andoni,/en/players/62515730/Fatjon-Andoni,True,2016-2022,MF,"Larissa, Apollon Smyrnis",ALB
Zajsar Arapi,/en/players/157fb4c4/Zajsar-Arapi,True,2019-2022,MF,"Kickers Offenbach U19, Nürnberg U17",ALB
Kushtrim Asallari,/en/players/3af3ade0/Kushtrim-Asallari,True,2018-2022,FW,"Mönchengladbach U17, Mönchengladbach U19",ALB
Jasir Asani,/en/players/6354ac8c/Jasir-Asani,True,2020-2024,"FW,MF","Gwangju FC, Albania, Kisvárda, AIK Stockholm",ALB
Kristjan Asllani,/en/players/0fdcef0e/Kristjan-Asllani,True,2020-2024,MF,"Internazionale, Albania, Empoli",ALB
Arbiona Bajraktari,/en/players/faf72dee/Arbiona-Bajraktari,True,2017-2025,DF,Albania,ALB
Adrian Bajrami,/en/players/3eff5888/Adrian-Bajrami,True,2022-2024,DF,"Benfica, Albania",ALB
Geraldo Bajrami,/en/players/ef196028/Geraldo-Bajrami,True,2019-2024,DF,"Notts County, Solihull Moors, Kidderminster Harriers, Birmingham City",ALB
Nedim Bajrami,/en/players/f42d6c13/Nedim-Bajrami,True,2016-2024,"FW,MF","Sassuolo, Albania, Empoli, Grasshopper",ALB
Steven Bala,/en/players/f38878be/Steven-Bala,True,2023-2024,MF,Queens Park Rangers,ALB
Bekim Balaj,/en/players/2a2cb7aa/Bekim-Balaj,True,2010-2023,FW,"Akhmat Grozny, Sturm Graz, Rijeka, Albania, Jagiellonia, Sparta Prague, Nizhny Novgorod, Slavia Prag",ALB
Iván Balliu,/en/players/cee88597/Ivan-Balliu,True,2010-2024,DF,"Rayo Vallecano, Albania, Metz, Almería, Arouca, Barcelona B",ALB
Keidi Bare,/en/players/03049c8c/Keidi-Bare,True,2016-2024,MF,"Espanyol, Albania, Málaga",ALB
Serkan Basha,/en/players/92c36d77/Serkan-Basha,True,2020-2021,MF,,ALB
Vullnet Basha,/en/players/9b31bd32/Vullnet-Basha,True,2009-2022,MF,"Wisła Kraków, Sion, Ponferradina, Zaragoza, UCAM Murcia, Grasshopper, Xamax, Ionikos",ALB
Maria Baska,/en/players/e9ad7a25/Maria-Baska,True,2022-2023,FW,Vllaznia Shkodër,ALB
Idriz Batha,/en/players/e03198e0/Idriz-Batha,True,2021-2023,MF,UTA Arad,ALB
Lavdije Begolli,/en/players/6fa83962/Lavdije-Begolli,True,2017-2022,MF,Albania,ALB
Markela Bejleri,/en/players/78b0a1b7/Markela-Bejleri,True,2019-2025,MF,Albania,ALB
Etrit Berisha,/en/players/ee833569/Etrit-Berisha,True,2010-2024,GK,"Albania, Empoli, Kalmar, Atalanta, Lazio, SPAL, Torino",ALB
Fortesa Berisha,/en/players/89dc1f60/Fortesa-Berisha,True,2022-2025,FW,Albania,ALB
Gresa Berisha,/en/players/dc4d9f8a/Gresa-Berisha,True,2019-2025,MF,"Albania, Vllaznia Shkodër",ALB
Ilir Berisha,/en/players/d893b82f/Ilir-Berisha,True,2012-2019,DF,"Örebro, Västerås, Gefle",ALB
Medon Berisha,/en/players/9d376bef/Medon-Berisha,True,2022-2024,FW,Lecce,ALB
Amir Bilali,/en/players/a1f41414/Amir-Bilali,True,2020-2022,DF,"FC Academica Clinceni, Mezőkövesd",ALB
Egzon Binaku,/en/players/63a304f3/Egzon-Binaku,True,2015-2023,DF,"Häcken, Norrköping, Malmö, GAIS, Albania",ALB
