Name,url,Active,Years Played,Position,Clubs Played,IOC
Sefik Abali,/en/players/2eea9986/Sefik-Abali,True,2021-2023,DF,Dordrecht,AUT
Amir Abdijanovic,/en/players/99480fb1/Amir-Abdijanovic,True,2017-2024,FW,"Rheindorf Altach, Wolfsburg U19, Wolfsburg U17",AUT
Melissa Abiral,/en/players/a62a84a6/Melissa-Abiral,True,2017-2024,GK,St. Pölten,AUT
Cynthia Adamu,/en/players/5c8d8a70/Cynthia-Adamu,True,2023-2024,FW,Landhaus,AUT
Junior Adamu,/en/players/82e12fe7/Junior-Adamu,True,2020-2024,FW,"Freiburg, Austria, SC Freiburg II, Red Bull Salzburg, St. Gallen",AUT
David Affengruber,/en/players/4b00cd47/David-Affengruber,True,2020-2024,DF,"Sturm Graz, Red Bull Salzburg",AUT
Sebastian Aigner,/en/players/b178d990/Sebastian-Aigner,True,2021-2024,MF,Rheindorf Altach,AUT
Evan Aisowieren,/en/players/3de802ee/Evan-Aisowieren,True,2023-2024,FW,Coventry City,AUT
Isabel Aistleitner,/en/players/2cb3c360/Isabel-Aistleitner,True,2022-2024,FW,First Vienna FC,AUT
Emanuel Aiwum,/en/players/d810c13b/Emanuel-Aiwum,True,2017-2024,DF,"Cremonese, Birmingham City, Admira Wacker Mödling, Rapid Wien",AUT
David Alaba,/en/players/05439de2/David-Alaba,True,2009-2024,"DF,MF","Bayern Munich, Real Madrid, Austria, Bayern Munich II, Hoffenheim",AUT
Deni Alar,/en/players/8b92fc98/Deni-Alar,True,2008-2021,"FW,MF","Rapid Wien, Sturm Graz, Kapfenberger, Levski Sofia",AUT
Selina Albrecht,/en/players/8391f29d/Selina-Albrecht,True,2022-2024,MF,Vorderland,AUT
Thomas Alexiev,/en/players/12c04ec2/Thomas-Alexiev,True,2019-2020,DF,,AUT
Michael Ambichl,/en/players/dc1e0999/Michael-Ambichl,True,2016-2020,MF,St. Pölten,AUT
Arne Ammerer,/en/players/8d3d76c3/Arne-Ammerer,True,2020-2021,MF,,AUT
Winfred Amoah,/en/players/6d0d86a4/Winfred-Amoah,True,2019-2020,FW,,AUT
Marc Andre Schmerböck,/en/players/db2e8273/Marc-Andre-Schmerbock,True,2013-2022,"FW,MF","Sturm Graz, Wolfsberger AC, Hartberg",AUT
Mario Andric,/en/players/db7c3384/Mario-Andric,True,2016-2022,DF,"Kaiserslautern U19, WSG Tirol",AUT
Tobias Anselm,/en/players/8fa64977/Tobias-Anselm,True,2020-2024,MF,"Viktoria Köln, WSG Tirol",AUT
Nico Antonitsch,/en/players/05e2f1e4/Nico-Antonitsch,True,2015-2024,DF,"Elversberg, Ingolstadt, Zwickau, Ried",AUT
Kelvin Arase,/en/players/313d5ee5/Kelvin-Arase,True,2016-2024,"FW,MF","Mannheim, Karlsruher, Rapid Wien, Oostende",AUT
Marko Arnautović,/en/players/00459419/Marko-Arnautovic,True,2006-2024,"FW,MF","Austria, Bologna, Internazionale, Stoke City, Werder Bremen, West Ham United, Twente, Shanghai SIPG",AUT
