Name,url,Active,Years Played,Position,Clubs Played,IOC
Denis Alijagič,/en/players/a0132f9c/Denis-Alijagic,True,2020-2022,FW,Slovan Liberec,CZE
Lukáš Ambros,/en/players/cd682b6b/Lukas-Ambros,True,2020-2024,FW,"SC Freiburg II, Wolfsburg U19, Wolfsburg U17",CZE
Colin Andrew,/en/players/6e021b77/Colin-Andrew,True,2022-2024,GK,České Budějovice,CZE
Ondřej Bačo,/en/players/4285332d/Ondrej-Baco,True,2015-2024,DF,"Diósgyőr, Fastav Zlín, Gaz Metan Mediaș",CZE
Viktor Baier,/en/players/665e1902/Viktor-Baier,True,2022-2024,GK,Viktoria Plzeň,CZE
Jakub Barac,/en/players/520b18e0/Jakub-Barac,True,2016-2021,MF,Slovan Liberec,CZE
Antonín Barák,/en/players/01efac19/Antonin-Barak,True,2012-2024,MF,"Fiorentina, Czechia, Hellas Verona, Udinese, Slavia Prague, Lecce, Příbram",CZE
Daniel Bartl,/en/players/899bf386/Daniel-Bartl,True,2011-2024,"DF,MF","Karviná, Slovan Liberec, Raków Częstochowa, Mladá Boleslav, Viktoria Žižkov",CZE
Robert Bartolomeu,/en/players/d2ba04be/Robert-Bartolomeu,True,2015-2018,MF,Fastav Zlín,CZE
Eva Bartoňová,/en/players/a49b8523/Eva-Bartonova,True,2016-2025,"DF,FW","Czechia, Internazionale, Slavia Prague",CZE
Lukáš Bartošák,/en/players/3811e046/Lukas-Bartosak,True,2015-2024,DF,"Fastav Zlín, Karviná, Slovan Liberec",CZE
Jiří Bederka,/en/players/d220b919/Jiri-Bederka,True,2016-2024,DF,"Karviná, Bohemians 1905, Hradec Králové",CZE
Lucie Bendová,/en/players/56b0e15f/Lucie-Bendova,True,2022-2024,DF,Slavia Prague,CZE
Vít Beneš,/en/players/5fade954/Vit-Benes,True,2009-2024,DF,"Sigma Olomouc, Jablonec, Kladno, Vasas, Haladás",CZE
