Name,url,Active,Years Played,Position,Clubs Played,IOC
Daniel A. Pedersen,/en/players/f3dd2e06/Daniel-A-Pedersen,True,2011-2023,"DF,MF","Silkeborg, Aarhus, Orange County SC, Lillestrøm, Brann",DEN
Gustav Aabro,/en/players/58c909ec/Gustav-Aabro,True,2022-2024,GK,"Dortmund U19, Dortmund U17",DEN
Ida Aaquist,/en/players/7216552a/Ida-Aaquist,True,2022-2024,MF,KoldingQ,DEN
Mads Aaquist,/en/players/9344895b/Mads-Aaquist,True,2012-2022,DF,"Randers, Nordsjælland, Viborg, Helsingør",DEN
Jonas Abbew,/en/players/c93f728c/Jonas-Abbew,True,2020-2024,DF,"Nordsjælland, AGF",DEN
Verona Abdullahu,/en/players/009495b7/Verona-Abdullahu,True,2023-2024,MF,KoldingQ,DEN
Freja Abildå,/en/players/d3c9a9c2/Freja-Abilda,True,2016-2024,MF,Brøndby,DEN
Oliver Abildgaard,/en/players/8f5cdf66/Oliver-Abildgaard,True,2015-2024,MF,"Como, Aalborg, Rubin Kazan, Hellas Verona, Celtic",DEN
Wessam Abou Ali,/en/players/a06467dc/Wessam-Abou-Ali,True,2017-2023,FW,"Aalborg, Sirius, Silkeborg",DEN
Tonni Adamsen,/en/players/c78380e9/Tonni-Adamsen,True,2022-2024,FW,Silkeborg,DEN
Aske Adelgaard,/en/players/3397a49f/Aske-Adelgaard,True,2022-2024,DF,Odense,DEN
Jeffrey Adjei-Broni,/en/players/b08a026b/Jeffrey-Adjei-Broni,True,2023-2024,FW,Hvidovre IF,DEN
Jakob Ahlmann Nielsen,/en/players/3057b8b9/Jakob-Ahlmann-Nielsen,True,2009-2023,"DF,MF",Aalborg,DEN
Andreas Albers,/en/players/94471fb7/Andreas-Albers,True,2016-2024,FW,"St Pauli, Jahn Regensburg, Silkeborg",DEN
Mads Albæk,/en/players/06aa77a6/Mads-Albaek,True,2008-2024,MF,"Randers, Midtjylland, SønderjyskE, Göteborg, Reims, Kaiserslautern",DEN
Sara Amby,/en/players/4635f116/Sara-Amby,True,2022-2024,FW,KoldingQ,DEN
Alexander Ammitzbøll,/en/players/0d1c3981/Alexander-Ammitzboll,True,2018-2022,FW,"Haugesund, Aarhus, Aalesund",DEN
Malte Amundsen,/en/players/83b6e15d/Malte-Amundsen,True,2018-2024,DF,"Columbus Crew, New York City FC, Vejle BK, Eintracht Braunschweig",DEN
Adam Andersen,/en/players/1bcfcee9/Adam-Andersen,True,2023-2024,DF,Midtjylland,DEN
