Name,url,Active,Years Played,Position,Clubs Played,IOC
Fratelli ,/en/players/c9bace5d/Fratelli,True,2020-2024,DF,Navalcarnero,ESP
Guiu ,/en/players/db8901f4/Guiu,True,2020-2024,FW,Tarazona,ESP
Lobato ,/en/players/88676bdc/Lobato,True,2020-2024,DF,"Sestao, Górnik Łęczna",ESP
Tony Abad ,/en/players/8fa6026e/Tony-Abad,True,2019-2024,DF,Eldense,ESP
Carlos Abad,/en/players/6970bedb/Carlos-Abad,True,2014-2024,GK,"Hércules, Córdoba, Xanthi, Tenerife",ESP
Álvaro Abajas,/en/players/b6297cb0/Alvaro-Abajas,True,2023-2024,GK,Leganés,ESP
Monir Abdeselam,/en/players/9db7afe8/Monir-Abdeselam,True,2023-2024,FW,Andratx,ESP
Abel,/en/players/40b6bd38/Abel,True,2022-2024,DF,Oviedo,ESP
Abel,/en/players/4ff590bb/Abel,True,2021-2024,DF,"Gimnástica Segoviana, CD Cristo Atlético",ESP
Nacho Abeledo,/en/players/5cd91b46/Nacho-Abeledo,True,2018-2024,MF,"CF Talavera de la Reina, Gimnàstic, Linares Deportivo",ESP
Iker Abellán,/en/players/110adb65/Iker-Abellan,True,2023-2024,MF,UCAM Murcia,ESP
Teresa Abelleira,/en/players/46f75f0c/Teresa-Abelleira,True,2021-2025,MF,"Real Madrid, Spain",ESP
Mario Abenza,/en/players/805b1f68/Mario-Abenza,True,2018-2024,MF,"Águilas, Almería",ESP
Abreu,/en/players/e5986f12/Abreu,True,2020-2024,MF,CD San Roque de Lepe,ESP
Vicent Abril Sanz,/en/players/7221db10/Vicent-Abril-Sanz,True,2023-2024,GK,Valencia,ESP
Álvaro Aceves,/en/players/be6faae0/Alvaro-Aceves,True,2022-2024,GK,"Eldense, Valladolid",ESP
Álvaro Acosta,/en/players/717b8b42/Alvaro-Acosta,True,2020-2021,GK,,ESP
Antonio Adán,/en/players/65d62814/Antonio-Adan,True,2006-2024,GK,"Sporting CP, Betis, Real Madrid, Atlético Madrid, Real Madrid Castilla",ESP
Paris Adot,/en/players/46e57fe6/Paris-Adot,True,2014-2024,DF,"Deportivo La Coruña, Ponferradina, Alcorcón, CD Izarra",ESP
Adrián,/en/players/f76e6b4e/Adrian,True,2012-2024,GK,"Liverpool, West Ham United, Betis",ESP
Julen Agirre,/en/players/a3bd658d/Julen-Agirre,True,2023-2024,MF,CF Talavera de la Reina,ESP
Martin Agirregabiria,/en/players/355c883a/Martin-Agirregabiria,True,2016-2024,DF,"Famalicão, Alavés",ESP
Jon Agirrezabala,/en/players/d6ff7d2f/Jon-Agirrezabala,True,2020-2024,DF,Gernika Club,ESP
Julen Agirrezabala,/en/players/a2c1a8d3/Julen-Agirrezabala,True,2021-2024,GK,Athletic Club,ESP
Álvaro Aguado,/en/players/014aa7bd/Alvaro-Aguado,True,2017-2024,MF,"Espanyol, Valladolid, Córdoba, CF Fuenlabrada, Numancia",ESP
David Aguado,/en/players/211965ed/David-Aguado,True,2023-2024,MF,Turégano,ESP
Luis Aguado,/en/players/e9c3a3e7/Luis-Aguado,True,2021-2024,DF,"Navalcarnero, Cacereño",ESP
Marc Aguado,/en/players/5a705641/Marc-Aguado,True,2020-2024,MF,"Zaragoza, Andorra",ESP
Tarsicio Aguado,/en/players/345ebb78/Tarsicio-Aguado,True,2012-2022,MF,Zaragoza,ESP
David Agudo,/en/players/87ed4238/David-Agudo,True,2015-2024,FW,Villanovense,ESP
Iván Aguilar,/en/players/cba5be17/Ivan-Aguilar,True,2014-2024,FW,"Jaén, UCAM Murcia",ESP
Lalo Aguilar,/en/players/dfbd5cb9/Lalo-Aguilar,True,2022-2024,DF,Leganés,ESP
Diego Aguirre,/en/players/45b8139c/Diego-Aguirre,True,2014-2024,"DF,MF","Manchego Ciudad Real, Rayo Vallecano, Leganés, Oviedo, Zaragoza",ESP
Yolanda Aguirre,/en/players/150b2d3b/Yolanda-Aguirre,True,2021-2024,GK,"Sevilla, Napoli",ESP
Agustín,/en/players/3048d64e/Agustin,True,2023-2024,MF,Chiclana,ESP
Sergio Aguza,/en/players/b8e26df0/Sergio-Aguza,True,2013-2024,MF,"Lugo, Córdoba, Almería, Ponferradina, Real Madrid Castilla, Alcorcón, Cartagena, Milton Keynes Dons",ESP
Lucas Ahijado,/en/players/7244b474/Lucas-Ahijado,True,2014-2024,DF,Oviedo,ESP
Airam,/en/players/130471ce/Airam,True,2010-2024,FW,"Atlético Sanluqueño, Villarreal B, Korona Kielce, Cracovia, Lugo, Córdoba, Goa, Extremadura, Numanci",ESP
Isma Aizpiri,/en/players/2c3579ea/Isma-Aizpiri,True,2022-2024,MF,Cacereño,ESP
Ager Aketxe,/en/players/c5eaff5c/Ager-Aketxe,True,2014-2024,"FW,MF","Eibar, Cádiz, Deportivo La Coruña, Athletic Bilbao, Almería, Athletic Bilbao B, Toronto FC",ESP
Sergio Akieme,/en/players/06efa9dc/Sergio-Akieme,True,2015-2024,DF,"Almería, Reims, Rayo Vallecano",ESP
Jony Álamo,/en/players/788be7f9/Jony-Alamo,True,2019-2024,MF,"Cartagena, Elche",ESP
Ángel Alarcón,/en/players/455c26a4/Angel-Alarcon,True,2022-2024,FW,Barcelona,ESP
Roberto Alarcón,/en/players/8c4f9dc3/Roberto-Alarcon,True,2020-2024,DF,"Valour FC, Cavalry FC, FC Tucson",ESP
Alassán,/en/players/95fb7c1b/Alassan,True,2022-2024,FW,Tenerife,ESP
Jorge Alastuey,/en/players/4b45ac00/Jorge-Alastuey,True,2023-2024,MF,Teruel,ESP
Jordi Alba,/en/players/4601e194/Jordi-Alba,True,2008-2024,"DF,MF","Barcelona, Inter Miami, Valencia, Spain, Gimnàstic",ESP
Txus Alba,/en/players/030b7526/Txus-Alba,True,2023-2024,MF,Ternana,ESP
Pau Albelda,/en/players/ec959188/Pau-Albelda,True,2023-2024,MF,Rubí,ESP
Raúl Albentosa,/en/players/348e4809/Raul-Albentosa,True,2009-2024,DF,"Vejle BK, Eibar, Deportivo La Coruña, Málaga, CSKA Sofia, Gimnàstic, Dinamo București, Derby County",ESP
Albertín,/en/players/0443fd6f/Albertin,True,2023-2024,MF,Atlético Astorga,ESP
Luis Alberto,/en/players/5294a83f/Luis-Alberto,True,2010-2024,"FW,MF","Lazio, Barcelona B, Deportivo La Coruña, Málaga, Liverpool, Sevilla",ESP
Néstor Albiach,/en/players/8887813b/Nestor-Albiach,True,2012-2024,FW,"NorthEast United, Dukla Prague, Numancia, Sparta Prague, Rayo Majadahonda",ESP
Raúl Albiol,/en/players/4bd414c1/Raul-Albiol,True,2003-2024,DF,"Villarreal, Napoli, Valencia, Real Madrid, Spain, Getafe",ESP
