Name,url,Active,Years Played,Position,Clubs Played,IOC
Rayane Aabid,/en/players/13792bac/Rayane-Aabid,True,2017-2024,MF,"Hatayspor, Béziers, Yeni Malatyaspor, Kasımpaşa, Paris FC",FRA
Ismael Aaneba,/en/players/a7e4760c/Ismael-Aaneba,True,2017-2024,DF,"Ferencváros, Sochaux, Strasbourg",FRA
Othman Aankour,/en/players/af2fb5a0/Othman-Aankour,True,2020-2024,DF,AS Furiani-Agliani,FRA
Fares Aatout,/en/players/ad48bc2a/Fares-Aatout,True,2021-2024,MF,FC Bourgoin-Jallieu,FRA
Aymen Abahousse,/en/players/5377a3c2/Aymen-Abahousse,True,2023-2024,DF,Jarville JF,FRA
Alexis Abalam,/en/players/752e9ba4/Alexis-Abalam,True,2022-2023,DF,,FRA
Gianni Aballe,/en/players/bf11a215/Gianni-Aballe,True,2023-2024,FW,FC Chaponnay-Marennes,FRA
Leroy Abanda,/en/players/5af2731a/Leroy-Abanda,True,2019-2024,DF,"OFI Crete, R.F.C. Seraing, PAS Lamia, Xamax",FRA
Nasser Abarkan,/en/players/7095cf75/Nasser-Abarkan,True,2018-2019,FW,,FRA
Zakariya Abarouai,/en/players/ac64eb68/Zakariya-Abarouai,True,2013-2016,FW,Evian,FRA
Sammy Abbani,/en/players/804cfdc9/Sammy-Abbani,True,2023-2024,FW,Blagnac FC,FRA
Benrandy Abdallah,/en/players/ad8b16bb/Benrandy-Abdallah,True,2018-2020,DF,,FRA
Hamza Abdallah,/en/players/93940d4e/Hamza-Abdallah,True,2023-2024,DF,Lausanne-Sport,FRA
Kemil Abdallah,/en/players/cf25481a/Kemil-Abdallah,True,2021-2022,DF,ES Cannet-Rocheville,FRA
Keyliane Abdallah,/en/players/7310786d/Keyliane-Abdallah,True,2023-2024,FW,Marseille,FRA
Yaniss Abdallah,/en/players/abda7eff/Yaniss-Abdallah,True,2022-2023,MF,,FRA
Billel Abdelkadous,/en/players/82d349a2/Billel-Abdelkadous,True,2017-2021,MF,CSO Amnéville,FRA
Anas Abdelmoumene,/en/players/2f0ae923/Anas-Abdelmoumene,True,2020-2023,DF,ASM Vénissieux,FRA
Samuel Abdelouahed,/en/players/6e84c268/Samuel-Abdelouahed,True,2023-2024,DF,US Provin,FRA
Khaled Abdelouhab,/en/players/c5be0c43/Khaled-Abdelouhab,True,2017-2024,MF,FC Mulhouse,FRA
Dhoulianrifou Abdou Mari,/en/players/a201b98a/Dhoulianrifou-Abdou-Mari,True,2020-2024,MF,En Avant Saint-Renan,FRA
Soumahoro Abdoulaye,/en/players/ffb612a0/Soumahoro-Abdoulaye,True,2023-2024,FW,CS Louhans-Cuiseaux,FRA
Auryane Abdourahim,/en/players/73cc9318/Auryane-Abdourahim,True,2022-2024,DF,"Paris Saint-Germain, Soyaux",FRA
Ali Abed,/en/players/1ac9a46c/Ali-Abed,True,2019-2024,MF,US Torcy-Paris Vallée de la Marne,FRA
Adam Abeddou,/en/players/5b7aa908/Adam-Abeddou,True,2021-2024,MF,"Lens, USL Dunkerque",FRA
Nabil Aberdin,/en/players/cadfa7d1/Nabil-Aberdin,True,2021-2024,DF,Getafe,FRA
Laurent Abergel,/en/players/31626657/Laurent-Abergel,True,2013-2024,"DF,MF","Lorient, Ajaccio, Nancy",FRA
Salomon Abergel,/en/players/09273360/Salomon-Abergel,True,2023-2024,MF,Ajaccio,FRA
Corentin Abguillerm,/en/players/8225b913/Corentin-Abguillerm,True,2023-2024,MF,Plougastel FC,FRA
Charles Abi,/en/players/469d3d84/Charles-Abi,True,2018-2024,FW,"FC Stade Lausanne-Ouchy, Saint-Étienne, Guingamp",FRA
Mathis Abily,/en/players/0f75b607/Mathis-Abily,True,2022-2023,DF,,FRA
Anwar Ablagh,/en/players/58820ae8/Anwar-Ablagh,True,2021-2024,FW,EF Reims Sainte-Anne Chatillons,FRA
Matthis Abline,/en/players/0e46fa2f/Matthis-Abline,True,2020-2024,FW,"Nantes, Rennes, Auxerre, Le Havre",FRA
