Name,url,Active,Years Played,Position,Clubs Played,IOC
Mohamed Abd El Aal Ali,/en/players/bb124176/Mohamed-Abd-El-Aal-Ali,True,2022-2024,MF,FC Teutonia Ottensen,GER
Farid Abderrahmane,/en/players/b4be2a66/Farid-Abderrahmane,True,2021-2024,MF,Lokomotive Leipzig,GER
Aland Abdi,/en/players/c8be33bc/Aland-Abdi,True,2021-2024,FW,"Alemannia Aachen U19, Alemannia Aachen U17",GER
Yasin Abdul-Hamid,/en/players/aacab6f6/Yasin-Abdul-Hamid,True,2022-2024,MF,Schalke 04 U17,GER
Farid Abdvis Zadeh,/en/players/925a7a0b/Farid-Abdvis-Zadeh,True,2021-2024,MF,"Arminia Bielefeld U19, Arminia Bielefeld U17",GER
Thierry Abessouguie,/en/players/fc1ad19e/Thierry-Abessouguie,True,2023-2024,FW,"Viktoria Köln U17, Viktoria Köln U19",GER
Samuel Abifade,/en/players/7bd1ae6a/Samuel-Abifade,True,2016-2024,MF,"Mannheim, Eintracht Braunschweig U19, Meppen",GER
Phillip Aboagye,/en/players/a1f0c837/Phillip-Aboagye,True,2016-2022,DF,"Bochum U19, Bochum U17",GER
Natnael Abraha,/en/players/83da35d7/Natnael-Abraha,True,2023-2024,DF,Eintracht Frankfurt U17,GER
Alessandro Abruscia,/en/players/607bf437/Alessandro-Abruscia,True,2015-2020,DF,"Stuttgarter Kickers, TSV 1860",GER
Friederike Abt,/en/players/7c51bea4/Friederike-Abt,True,2016-2024,GK,"Leverkusen, Hoffenheim, Wolfsburg",GER
Ryan Acar,/en/players/935bd108/Ryan-Acar,True,2022-2024,DF,"Osnabrück U19, Arminia Bielefeld U17",GER
Ragnar Ache,/en/players/dc38e3bc/Ragnar-Ache,True,2016-2024,FW,"Kaiserslautern, Sparta Rotterdam, Greuther Fürth, Eintracht Frankfurt",GER
Dilara Acikgöz,/en/players/1ce96186/Dilara-Acikgoz,True,2021-2024,MF,Eintracht Frankfurt,GER
Erdem Açıkgöz,/en/players/4f8ea877/Erdem-Acikgoz,True,2023-2024,MF,Mönchengladbach U17,GER
Ilayda Acikgöz,/en/players/2de08078/Ilayda-Acikgoz,True,2022-2024,MF,Eintracht Frankfurt,GER
Christopher Ackermann,/en/players/9155dda7/Christopher-Ackermann,True,2021-2024,DF,Union Berlin U19,GER
