Name,url,Active,Years Played,Position,Clubs Played,IOC
Máté Adamcsek,/en/players/f843f9c1/Mate-Adamcsek,True,2015-2016,DF,,HUN
Krisztián Adorján,/en/players/f21f4e98/Krisztian-Adorjan,True,2013-2020,"FW,MF","Novara, Groningen, Virtus Entella",HUN
Levente Almássy,/en/players/66e57afa/Levente-Almassy,True,2022-2023,DF,,HUN
Lily Anna Farkas,/en/players/7a8f1f97/Lily-Anna-Farkas,True,2023-2024,FW,Fortuna Hjørring,HUN
Imre Antal Széles,/en/players/413062f5/Imre-Antal-Szeles,True,2021-2024,DF,"Kisvárda, Gyirmót",HUN
Dávid Artner,/en/players/e687be3e/David-Artner,True,2023-2024,FW,Kecskemét,HUN
István Átrók,/en/players/49a4a67b/Istvan-Atrok,True,2022-2023,MF,Honvéd,HUN
Martin Auerbach,/en/players/8f7011bc/Martin-Auerbach,True,2019-2024,GK,Puskás Akadémia,HUN
Bence Babos,/en/players/81c27f1d/Bence-Babos,True,2022-2023,FW,,HUN
Levente Babós,/en/players/4385a407/Levente-Babos,True,2022-2023,DF,,HUN
Patrik Bacsa,/en/players/c3350c52/Patrik-Bacsa,True,2009-2021,"FW,MF","Diósgyőr, Újpest",HUN
Bálint Bajner,/en/players/a676b68c/Balint-Bajner,True,2006-2016,FW,"Dortmund II, Honvéd, Notts County, Paks, Ipswich Town",HUN
Ákos Baki,/en/players/c87351d4/Akos-Baki,True,2013-2022,DF,MTK Budapest,HUN
Balázs Bakti,/en/players/283e3664/Balazs-Bakti,True,2021-2023,MF,Puskás Akadémia,HUN
Benjamin Balázs,/en/players/e0d0c402/Benjamin-Balazs,True,2009-2022,MF,"Kaposvár, Újpest, MTK Budapest, Teplice",HUN
Slakta Balázs,/en/players/3e9bdbd3/Slakta-Balazs,True,2015-2020,GK,Kaposvár,HUN
Simon Balint,/en/players/620003c9/Simon-Balint,True,2023-2024,MF,Újpest,HUN
Balázs Balogh,/en/players/6441c9c3/Balazs-Balogh,True,2010-2024,MF,"Paks, Újpest, Puskás Akadémia",HUN
Botond Balogh,/en/players/348bafd4/Botond-Balogh,True,2019-2024,DF,"Parma, Hungary",HUN
Norbert Balogh,/en/players/24190824/Norbert-Balogh,True,2014-2024,FW,"Kisvárda, Honvéd, Debrecen, Palermo, Vasas, Hull City",HUN
Philip Baloteli,/en/players/f7688f0d/Philip-Baloteli,True,2022-2024,FW,Zalaegerszeg,HUN
Dávid Banai,/en/players/5dae995a/David-Banai,True,2014-2024,GK,Újpest,HUN
Gergő Bánfalvi,/en/players/1cf3fb9a/Gergo-Banfalvi,True,2022-2023,GK,,HUN
Gréta Bánfi,/en/players/1d8ba70c/Greta-Banfi,True,2023-2024,DF,SV Neulengbach,HUN
Bogdán Bánhegyi,/en/players/96ce0473/Bogdan-Banhegyi,True,2023-2024,GK,Diósgyőr,HUN
Bence Banó-Szabó,/en/players/aefb11ee/Bence-Bano-Szabo,True,2017-2024,MF,"Kecskemét, Honvéd",HUN
Roland Baracskai,/en/players/6b3230eb/Roland-Baracskai,True,2013-2018,FW,"Mezőkövesd, Puskás Akadémia",HUN
Donát Bárány,/en/players/8fc82ac0/Donat-Barany,True,2021-2024,FW,Debrecen,HUN
Nimród Baranyai,/en/players/07747011/Nimrod-Baranyai,True,2021-2024,DF,"Debrecen, Mezőkövesd",HUN
Botond Baráth,/en/players/40011a79/Botond-Barath,True,2012-2023,DF,"Honvéd, Sporting Kansas City, Vasas, Hungary",HUN
Péter Baráth,/en/players/307d36e6/Peter-Barath,True,2019-2024,FW,"Ferencváros, Raków Częstochowa, Hungary, Debrecen",HUN
Bence Bárdos,/en/players/3718a19e/Bence-Bardos,True,2017-2024,DF,Diósgyőr,HUN
Benedek Barkóczi,/en/players/5b22364a/Benedek-Barkoczi,True,2021-2022,FW,,HUN
László Bartha,/en/players/17d3a522/Laszlo-Bartha,True,2005-2020,MF,"Paks, Ferencváros",HUN
Luca Barti,/en/players/11ea84a7/Luca-Barti,True,2022-2023,GK,,HUN
Tamás Batai,/en/players/9cfdc47f/Tamas-Batai,True,2023-2024,FW,Debrecen,HUN
Bence Batik,/en/players/3bb907b2/Bence-Batik,True,2011-2024,MF,"Puskás Akadémia, Honvéd, Ferencváros, MTK Budapest",HUN
Bence Bedi,/en/players/6417ff6c/Bence-Bedi,True,2019-2024,DF,Zalaegerszeg,HUN
Péter Beke,/en/players/d77fa75c/Peter-Beke,True,2017-2024,FW,"Paks, Hamburger SV U19, Hamburger SV U17",HUN
Roland Bekker,/en/players/28de5272/Roland-Bekker,True,2018-2021,DF,"Mönchengladbach U17, Mönchengladbach U19",HUN
Csaba Belényesi,/en/players/314d6b03/Csaba-Belenyesi,True,2019-2024,DF,Kecskemét,HUN
Antal Bencze,/en/players/47ac09df/Antal-Bencze,True,2021-2023,GK,,HUN
Márk Bencze,/en/players/fdbe3cea/Mark-Bencze,True,2020-2021,FW,,HUN
Barna Benczenleitner,/en/players/2abd961e/Barna-Benczenleitner,True,2020-2023,DF,Honvéd,HUN
Murka Benedek,/en/players/8014199b/Murka-Benedek,True,2015-2018,FW,Vasas,HUN
Babati Benjamin,/en/players/6278237d/Babati-Benjamin,True,2019-2022,FW,"Zalaegerszeg, Mezőkövesd",HUN
Ágoston Bényei,/en/players/57dd40fb/Agoston-Benyei,True,2021-2024,MF,"Diósgyőr, Debrecen",HUN
Zsombor Berecz,/en/players/b36b3f96/Zsombor-Berecz,True,2015-2023,MF,"Vasas, Mezőkövesd, MOL Vidi",HUN
Lajos Bertus,/en/players/c59f9123/Lajos-Bertus,True,2008-2022,MF,"Paks, Kecskemét, Mezőkövesd, Puskás Akadémia",HUN
Balázs Bese,/en/players/4fb07749/Balazs-Bese,True,2020-2021,GK,Budafoki MTE,HUN
Barnabás Bese,/en/players/c9bd8fc5/Barnabas-Bese,True,2012-2024,"DF,FW","Fehérvár, Le Havre, MTK Budapest, Hungary, OH Leuven",HUN
Zsombor Bévárdi,/en/players/be3e840e/Zsombor-Bevardi,True,2019-2024,FW,"Debrecen, Puskás Akadémia, Kaposvár",HUN
Barnabás Biben,/en/players/6769d31a/Barnabas-Biben,True,2020-2024,MF,MTK Budapest,HUN
Bence Bíró,/en/players/88ebff80/Bence-Biro,True,2020-2021,FW,MTK Budapest,HUN
Dominik Bíró,/en/players/e3d1f142/Dominik-Biro,True,2019-2020,FW,Kaposvár,HUN
Dávid Bobál,/en/players/ece5d847/David-Bobal,True,2013-2024,DF,"MTK Budapest, Honvéd, Zalaegerszeg, Mezőkövesd, Paks",HUN
Gergely Bobál,/en/players/3beed231/Gergely-Bobal,True,2011-2023,"FW,MF","Zalaegerszeg, Honvéd, Mezőkövesd",HUN
Andreas Böcking,/en/players/ad0389b2/Andreas-Bocking,True,2023-2024,DF,Arminia Bielefeld U17,HUN
Bertalan Bocskay,/en/players/e3c92b90/Bertalan-Bocskay,True,2020-2023,DF,"Honvéd, TSC",HUN
Dániel Böde,/en/players/17f66244/Daniel-Bode,True,2006-2024,FW,"Paks, Ferencváros, Hungary",HUN
Ádám Bódi,/en/players/8bd428a1/Adam-Bodi,True,2009-2024,MF,"Debrecen, Fehérvár",HUN
Gergő Bodnár,/en/players/cbf1cb30/Gergo-Bodnar,True,2021-2023,DF,,HUN
Zoltán Bodor,/en/players/7845d0aa/Zoltan-Bodor,True,2022-2023,FW,,HUN
István Bognár,/en/players/b6db1841/Istvan-Bognar,True,2010-2024,MF,"MTK Budapest, Diósgyőr, Paks, Mezőkövesd, Ferencváros",HUN
Szilárd Bokros,/en/players/4176b2c1/Szilard-Bokros,True,2018-2024,MF,"Diósgyőr, Puskás Akadémia",HUN
Lukács Bőle,/en/players/1fe5f4dd/Lukacs-Bole,True,2009-2024,MF,"Paks, Mezőkövesd, Studențesc Iași, Kaposvár, Ferencváros, Honvéd, Zalaegerszeg",HUN
Bendegúz Bolla,/en/players/b6ca3ab3/Bendeguz-Bolla,True,2017-2024,"DF,MF","Servette, Hungary, Grasshopper, Fehérvár, Zalaegerszeg",HUN
Dávid Bor,/en/players/ea4acf05/David-Bor,True,2013-2020,FW,Paks,HUN
Lorenzo Bordo,/en/players/6704d94f/Lorenzo-Bordo,True,2019-2024,FW,"Hannover 96 U19, Hannover 96 U17",HUN
Dorina Borók,/en/players/ae212bce/Dorina-Borok,True,2025,GK,,HUN
Zsombor Boros,/en/players/62e24770/Zsombor-Boros,True,2022-2023,MF,,HUN
Filip Borsos,/en/players/97f8166d/Filip-Borsos,True,2019-2021,MF,,HUN
Vilmos Borsos,/en/players/25b6f93a/Vilmos-Borsos,True,2018-2024,GK,Paks,HUN
Predrag Bošnjak,/en/players/03a1f709/Predrag-Bosnjak,True,2009-2019,DF,"Haladás, Nyíregyháza",HUN
