Name,url,Active,Years Played,Position,Clubs Played,IOC
Gennaro Acampora,/en/players/01040647/Gennaro-Acampora,True,2014-2024,MF,"Bari, Spezia, Benevento, Perugia, Virtus Entella",ITA
Andrea Accardi,/en/players/cede6c3d/Andrea-Accardi,True,2014-2023,DF,Palermo,ITA
Federico Accornero,/en/players/83763653/Federico-Accornero,True,2022-2024,MF,Pescara,ITA
Christian Acella,/en/players/771a2cfe/Christian-Acella,True,2022-2023,MF,Cremonese,ITA
Francesco Acerbi,/en/players/b96b595c/Francesco-Acerbi,True,2010-2024,DF,"Internazionale, Italy, Lazio, Sassuolo, Reggina, Chievo, Milan",ITA
Ismail Achik,/en/players/b3996d42/Ismail-Achik,True,2018-2024,FW,Bari,ITA
Sami Achir,/en/players/5b69b6d8/Sami-Achir,True,2021-2022,MF,Ingolstadt U17,ITA
Greta Adami,/en/players/231286ac/Greta-Adami,True,2017-2024,MF,"Milan, Fiorentina",ITA
Emanuele Adamo,/en/players/45668d20/Emanuele-Adamo,True,2019-2024,MF,Cesena,ITA
Simone Addessi,/en/players/7f7324c9/Simone-Addessi,True,2015-2020,MF,,ITA
Claud Adjapong,/en/players/ce5b170a/Claud-Adjapong,True,2015-2024,"DF,MF","Ascoli, Sassuolo, Lecce, Reggina, Hellas Verona",ITA
Andrea Adorante,/en/players/7005ac66/Andrea-Adorante,True,2018-2021,FW,Parma,ITA
Davide Adorni,/en/players/e43cb802/Davide-Adorni,True,2017-2024,DF,"Brescia, Cittadella",ITA
Davide Agazzi,/en/players/8b363bd8/Davide-Agazzi,True,2014-2023,MF,"Livorno, Ternana, Foggia, Vicenza, Virtus Lanciano",ITA
Gerardo Agnelli,/en/players/60ae8380/Gerardo-Agnelli,True,2023-2024,MF,Foggia,ITA
Emanuele Agnello,/en/players/13861d7a/Emanuele-Agnello,True,2022-2023,MF,,ITA
Vittorio Agostinelli,/en/players/b49a4e1d/Vittorio-Agostinelli,True,2021-2024,MF,Calcio Lecco 1912,ITA
Giuseppe Agostino,/en/players/98179242/Giuseppe-Agostino,True,2020-2023,GK,,ITA
Fabrizio Alastra,/en/players/cfed4243/Fabrizio-Alastra,True,2015-2021,GK,,ITA
Diego Albadoro,/en/players/0b8e5467/Diego-Albadoro,True,2011-2018,FW,"Ternana, Bari",ITA
Domenico Alberico,/en/players/79faa5de/Domenico-Alberico,True,2016-2018,MF,Hoffenheim U19,ITA
Mirko Albertazzi,/en/players/7b74458e/Mirko-Albertazzi,True,2017-2021,GK,,ITA
Thomas Alberti,/en/players/43de4047/Thomas-Alberti,True,2020-2021,FW,,ITA
Alessandro Albertini,/en/players/6897b3f7/Alessandro-Albertini,True,2018-2021,DF,ASD Francavilla Calcio,ITA
Marco Albertoni,/en/players/3866e9bd/Marco-Albertoni,True,2017-2020,GK,,ITA
Lisa Alborghetti,/en/players/6f94b2a9/Lisa-Alborghetti,True,2016-2024,"DF,FW","Internazionale, Milan, Italy",ITA
