Name,url,Active,Years Played,Position,Clubs Played,IOC
Patrick van Aanholt,/en/players/5f09991f/Patrick-van-Aanholt,True,2009-2024,DF,"PSV Eindhoven, Crystal Palace, Sunderland, Vitesse, Galatasaray, Coventry City, Netherlands, Leicest",NED
Ilham Abali,/en/players/0faebd5b/Ilham-Abali,True,2018-2024,MF,ADO Den Haag,NED
Dirk Abels,/en/players/3c3bd200/Dirk-Abels,True,2014-2024,DF,"Grasshopper, Sparta Rotterdam, Jong PSV",NED
Abdallah Aberkane,/en/players/2218f2ee/Abdallah-Aberkane,True,2018-2024,DF,"Dordrecht, Excelsior, Jong Ajax",NED
Amir Absalem,/en/players/d9e907cb/Amir-Absalem,True,2017-2024,DF,"ADO Den Haag, Roda JC Kerkrade, Groningen, Almere City",NED
Nassim Achenteh,/en/players/61f0742b/Nassim-Achenteh,True,2023-2024,MF,FC Eindhoven,NED
Elton Acolatse,/en/players/74510b8f/Elton-Acolatse,True,2013-2024,"FW,MF","Diósgyőr, Jong Ajax, Sint-Truiden, Westerlo, Hapoel Be'er Sheva FC",NED
Jayden Addai,/en/players/662ffe3d/Jayden-Addai,True,2021-2024,MF,"Jong AZ, AZ Alkmaar",NED
Bobby Adekanye,/en/players/3ed84b2c/Bobby-Adekanye,True,2017-2024,"FW,MF","Go Ahead Eagles, Liverpool U23, Lazio, ADO Den Haag, Cádiz, Crotone",NED
Luuk Admiraal,/en/players/83db684b/Luuk-Admiraal,True,2021-2023,MF,,NED
Prince Adu-Addae Aning,/en/players/6d0b05f5/Prince-Adu-Addae-Aning,True,2022-2024,DF,Dortmund II,NED
Olivier Aertssen,/en/players/69bff230/Olivier-Aertssen,True,2021-2024,DF,"Jong Ajax, Ajax",NED
Marouane Afaker,/en/players/c166b64b/Marouane-Afaker,True,2017-2023,MF,,NED
Rohat Agca,/en/players/62414dd2/Rohat-Agca,True,2020-2022,MF,Heracles Almelo,NED
Oualid Agougil,/en/players/e87f6b66/Oualid-Agougil,True,2022-2024,DF,Jong Ajax,NED
Nikolas Agrafiotis,/en/players/72a63c0b/Nikolas-Agrafiotis,True,2020-2024,FW,"Excelsior, Wehen Wiesbaden, Dordrecht",NED
Derek Agyakwa,/en/players/9a71137f/Derek-Agyakwa,True,2020-2023,DF,,NED
Anass Ahannach,/en/players/0e666b2b/Anass-Ahannach,True,2017-2024,MF,"Den Bosch, Almere City",NED
Soufyan Ahannach,/en/players/c79753bf/Soufyan-Ahannach,True,2012-2022,"FW,MF","Almere City, Den Bosch, Brighton & Hove Albion U23, Sparta Rotterdam, Go Ahead Eagles",NED
Ayoub Ait Afkir,/en/players/92bff703/Ayoub-Ait-Afkir,True,2014-2015,FW,,NED
Remi Akanni,/en/players/4b6eba50/Remi-Akanni,True,2022-2024,DF,Den Bosch,NED
Nathan Aké,/en/players/eaeca114/Nathan-Ake,True,2012-2024,"DF,MF","Manchester City, Netherlands, Bournemouth, Watford, Chelsea, Reading",NED
Mees Akkerman,/en/players/732c20e8/Mees-Akkerman,True,2023-2024,FW,Jong Utrecht,NED
Özgür Aktas,/en/players/5e27cfe7/Ozgur-Aktas,True,2016-2024,DF,"MVV Maastricht, Telstar, Dordrecht",NED
Hamdi Akujobi,/en/players/0b524c25/Hamdi-Akujobi,True,2019-2024,DF,"Almere City, Heerenveen",NED
Norbert Alblas,/en/players/e3af40a2/Norbert-Alblas,True,2014-2024,GK,"Excelsior, Jong Ajax, Oss, NEC Nijmegen",NED
Gerald Alders,/en/players/04d6cc51/Gerald-Alders,True,2023-2024,MF,Jong Ajax,NED
Hester Algra,/en/players/d7120796/Hester-Algra,True,2023-2024,DF,Heerenveen,NED
Ilias Alhaft,/en/players/5c710c93/Ilias-Alhaft,True,2015-2023,"FW,MF","Almere City, Sparta Rotterdam",NED
Lisan Alkemade,/en/players/2adb753d/Lisan-Alkemade,True,2019-2024,GK,PSV Vrouwen,NED
Soulyman Allouch,/en/players/f85aabc3/Soulyman-Allouch,True,2019-2024,MF,"VVV-Venlo, Jong AZ",NED
Leonardo Rocha de Almeida,/en/players/ac975866/Leonardo-Rocha-de-Almeida,True,2023-2024,DF,Telstar,NED
Oussama Alou,/en/players/5c9f67d4/Oussama-Alou,True,2020-2024,MF,"Etar, Jong Utrecht, York United",NED
Jordi Altena,/en/players/25cfb552/Jordi-Altena,True,2023-2024,MF,Vitesse,NED
Elisha Ama Kruize,/en/players/67bff867/Elisha-Ama-Kruize,True,2022-2024,FW,"FC Utrecht, Ajax",NED
Nelson Amadin,/en/players/f274c1c7/Nelson-Amadin,True,2019-2024,FW,"Schalke 04, Dordrecht",NED
