Name,url,Active,Years Played,Position,Clubs Played,IOC
Dawid Abramowicz,/en/players/2bb18730/Dawid-Abramowicz,True,2015-2024,DF,"Radomiak Radom, Wisła Kraków",POL
Mateusz Abramowicz,/en/players/754fd4f4/Mateusz-Abramowicz,True,2014-2023,GK,"Miedź Legnica, Śląsk Wrocław",POL
Sławomir Abramowicz,/en/players/5b32de88/Slawomir-Abramowicz,True,2021-2024,GK,Jagiellonia,POL
Adriana Achcińska,/en/players/d85ee236/Adriana-Achcinska,True,2021-2024,MF,"Köln, Poland",POL
Hubert Adamczyk,/en/players/7571ef7f/Hubert-Adamczyk,True,2015-2021,MF,"Wisła Płock, Cracovia",POL
Nico Adamczyk,/en/players/eee2ceec/Nico-Adamczyk,True,2021-2024,DF,"Dortmund U19, Dortmund U17",POL
Kayla Adamek,/en/players/15fb617b/Kayla-Adamek,True,2019-2025,MF,"Vittsjö, Poland",POL
Jakub Adkonis,/en/players/716749d5/Jakub-Adkonis,True,2023-2024,FW,Legia Warsaw,POL
Maciej Ambrosiewicz,/en/players/d87e1413/Maciej-Ambrosiewicz,True,2017-2022,MF,"Górnik Zabrze, Wisła Płock, Bruk-Bet Termalica Nieciecza",POL
Michael Ameyaw,/en/players/37568bd3/Michael-Ameyaw,True,2021-2024,MF,Piast Gliwice,POL
Karol Angielski,/en/players/d75479ab/Karol-Angielski,True,2012-2024,FW,"Atromitos, Radomiak Radom, Piast Gliwice, Wisła Płock, Sivasspor, Korona Kielce, Śląsk Wrocław",POL
Jakub Antczak,/en/players/082a7ce9/Jakub-Antczak,True,2022-2023,MF,,POL
Kamil Antonik,/en/players/1f0522bb/Kamil-Antonik,True,2019-2020,MF,Arka Gdynia,POL
Jakub Arak,/en/players/b2b4b093/Jakub-Arak,True,2016-2022,FW,"Lechia Gdańsk, Ruch Chorzów, Raków Częstochowa",POL
Dawid Arndt,/en/players/c9314897/Dawid-Arndt,True,2019-2024,GK,ŁKS Łódź,POL
Rafał Augustyniak,/en/players/14a55fe3/Rafal-Augustyniak,True,2014-2024,"DF,MF","Legia Warsaw, Ural Yekaterinburg, Miedź",POL
Bartłomiej Babiarz,/en/players/8064dc8f/Bartlomiej-Babiarz,True,2013-2019,MF,"Ruch Chorzów, Bruk-Bet Termalica Nieciecza, Zagl Sosnowiec, Apollon Smyrni",POL
Daniel Bak,/en/players/c40bf4b6/Daniel-Bak,True,2023-2024,FW,Korona Kielce,POL
Mateusz Bąkowicz,/en/players/0b1518ba/Mateusz-Bakowicz,True,2023-2024,DF,ŁKS Łódź,POL
Krzysztof Bąkowski,/en/players/0c38886e/Krzysztof-Bakowski,True,2020-2024,GK,Radomiak Radom,POL
Wojciech Banasik,/en/players/d0439d7c/Wojciech-Banasik,True,2023-2024,GK,Legia Warsaw,POL
Przemysław Banaszak,/en/players/d27ce0a6/Przemyslaw-Banaszak,True,2021-2022,MF,Górnik Łęczna,POL
Maksymilian Banaszewski,/en/players/9c34ca4a/Maksymilian-Banaszewski,True,2018-2019,MF,Arka Gdynia,POL
Paweł Baranowski,/en/players/b24b1423/Pawel-Baranowski,True,2014-2024,DF,"Ruch Chorzów, GKS Bełchatów, Podbeskidzie, Górnik Łęczna",POL
Bartłomiej Barański,/en/players/b5bb86c3/Bartlomiej-Baranski,True,2023-2024,FW,Ruch Chorzów,POL
Norbert Barczak,/en/players/ed2e7ade/Norbert-Barczak,True,2023-2024,DF,Górnik Zabrze,POL
Dawid Barnowski,/en/players/cf3bc1a5/Dawid-Barnowski,True,2023-2024,FW,Ruch Chorzów,POL
Jakub Bartkowski,/en/players/c572c107/Jakub-Bartkowski,True,2011-2024,DF,"Warta Poznań, Pogoń Szczecin, Widzew Łódź, Wisła Kraków, Lechia Gdańsk",POL
Mateusz Bartolewski,/en/players/c10e9619/Mateusz-Bartolewski,True,2020-2024,DF,"Ruch Chorzów, Zagłębie Lubin",POL
Jakub Bartosz,/en/players/e0dfff36/Jakub-Bartosz,True,2013-2024,"DF,MF","Puszcza Niepołomice, Wisła Kraków, Sandecja Nowy Sącz",POL
Jakub Bednarczyk,/en/players/b352cfa6/Jakub-Bednarczyk,True,2016-2021,FW,"Leverkusen U19, Zagłębie Lubin",POL
Filip Bednarek,/en/players/93b95f72/Filip-Bednarek,True,2012-2024,GK,"Lech Poznań, De Graafschap, Jong Twente, Heerenveen, Utrecht",POL
Jan Bednarek,/en/players/4115ce4e/Jan-Bednarek,True,2013-2024,DF,"Southampton, Poland, Lech Poznań, Górnik Łęczna, Southampton U23, Aston Villa",POL
Łukasz Bejger,/en/players/76987501/Lukasz-Bejger,True,2019-2024,DF,"Śląsk Wrocław, Manchester United U23",POL
Adrian Benedyczak,/en/players/3f448184/Adrian-Benedyczak,True,2017-2024,"FW,MF","Parma, Poland, Pogoń Szczecin",POL
Bartosz Bereszyński,/en/players/61b3978f/Bartosz-Bereszynski,True,2009-2024,"DF,FW","Sampdoria, Poland, Empoli, Legia Warszawa, Lech Poznań, Napoli",POL
Sebastian Bergier,/en/players/f1c5ae82/Sebastian-Bergier,True,2017-2023,FW,Śląsk Wrocław,POL
Bartosz Białek,/en/players/763b8b37/Bartosz-Bialek,True,2019-2023,FW,"Wolfsburg, Vitesse, Zagłębie Lubin",POL
Bartosz Białkowski,/en/players/4b5e809f/Bartosz-Bialkowski,True,2004-2024,GK,"Millwall, Ipswich Town, Notts County, Southampton, Górnik Zabrze",POL
Bartosz Bida,/en/players/f62ddbc1/Bartosz-Bida,True,2017-2023,MF,Jagiellonia,POL
Wiktor Biedrzycki,/en/players/0cd62770/Wiktor-Biedrzycki,True,2018-2022,DF,"Bruk-Bet Termalica Nieciecza, Górnik Zabrze",POL
Jan Biegański,/en/players/a5362c15/Jan-Bieganski,True,2020-2023,MF,Lechia Gdańsk,POL
Mikołaj Biegański,/en/players/ee140493/Mikolaj-Bieganski,True,2021-2022,GK,Wisła Kraków,POL
Jakub Bielecki,/en/players/9eafbf93/Jakub-Bielecki,True,2023-2024,GK,Ruch Chorzów,POL
Daniel Bielica,/en/players/5b462baa/Daniel-Bielica,True,2018-2024,GK,"Górnik Zabrze, Warta Poznań",POL
Krystian Bielik,/en/players/8e0ec853/Krystian-Bielik,True,2014-2024,"DF,MF","Birmingham City, Poland, Derby County, Charlton Athletic, Arsenal U23, Legia Warszawa, Derby County",POL
Jakub Bieroński,/en/players/353d7b26/Jakub-Bieronski,True,2020-2021,MF,Podbeskidzie,POL
Gerard Bieszczad,/en/players/abf59165/Gerard-Bieszczad,True,2012-2015,GK,,POL
Kacper Bieszczad,/en/players/9167cc2e/Kacper-Bieszczad,True,2018-2024,GK,"Raków Częstochowa, Zagłębie Lubin",POL
Kamil Biliński,/en/players/b70e361b/Kamil-Bilinski,True,2008-2021,FW,"Śląsk Wrocław, Dinamo București, Podbeskidzie, Wisła Płock",POL
Dominik Biniek,/en/players/a4beb9c5/Dominik-Biniek,True,2022-2024,FW,Blackburn Rovers U21,POL
Alexander Bobek,/en/players/9efee0b1/Alexander-Bobek,True,2019-2024,GK,ŁKS Łódź,POL
Mateusz Bochnak,/en/players/9892f2fe/Mateusz-Bochnak,True,2016-2024,MF,Cracovia,POL
Paweł Bochniewicz,/en/players/9bf068be/Pawel-Bochniewicz,True,2013-2024,DF,"Heerenveen, Poland, Górnik Zabrze, Reggina",POL
Wiktor Bogacz,/en/players/68a0a431/Wiktor-Bogacz,True,2022-2023,FW,,POL
Artur Bogusz,/en/players/2232fee7/Artur-Bogusz,True,2019-2022,DF,"ŁKS Łódź, Radomiak Radom",POL
Mateusz Bogusz,/en/players/a2c1d8c2/Mateusz-Bogusz,True,2018-2024,"FW,MF","Los Angeles FC, Ibiza, UD Logroñés, Leeds United",POL
Sebastian Bonecki,/en/players/76f5fe63/Sebastian-Bonecki,True,2013-2022,MF,"Bruk-Bet Termalica Nieciecza, Zagłębie Lubin",POL
Filip Borowski,/en/players/7cecdaf7/Filip-Borowski,True,2020-2024,DF,Warta Poznań,POL
Maksymilian Boruc,/en/players/203acf46/Maksymilian-Boruc,True,2020-2024,GK,"Arbroath, Hibernian",POL
Karol Borys,/en/players/4bf85184/Karol-Borys,True,2021-2024,MF,"Śląsk Wrocław, Westerlo",POL
Eugenio Bracelli,/en/players/557af955/Eugenio-Bracelli,True,2020-2021,MF,,POL
Kamil Broda,/en/players/7f01e662/Kamil-Broda,True,2018-2021,GK,,POL
Martyna Brodzik,/en/players/003f431d/Martyna-Brodzik,True,2024-2025,MF,Poland,POL
Nicola Brzęczek,/en/players/3ee81b9b/Nicola-Brzeczek,True,2023,FW,,POL
Bartosz Brzęk,/en/players/8fce3dfe/Bartosz-Brzek,True,2022-2023,MF,,POL
Marcin Brzozowski,/en/players/fb6d5be6/Marcin-Brzozowski,True,2015-2022,GK,,POL
Milosz Brzozowski,/en/players/ebfab923/Milosz-Brzozowski,True,2021-2023,DF,Hansa Rostock U19,POL
Michał Buchalik,/en/players/5ada9f94/Michal-Buchalik,True,2009-2024,GK,"Ruch Chorzów, Wisła Kraków, Lechia Gdańsk, Odra Wodzisław",POL
Łukasz Budziłek,/en/players/8c1ead4d/Lukasz-Budzilek,True,2010-2022,GK,"Lechia Gdańsk, GKS Bełchatów, Bruk-Bet Termalica Nieciecza",POL
Adrian Bukowski,/en/players/69449e1c/Adrian-Bukowski,True,2021-2023,MF,Śląsk Wrocław,POL
Adam Buksa,/en/players/3b676989/Adam-Buksa,True,2014-2024,FW,"Antalyaspor, Poland, New England Revolution, Pogoń Szczecin, Zagłębie Lubin, Lechia Gdańsk, Lens",POL
Aleksander Buksa,/en/players/59f2d958/Aleksander-Buksa,True,2018-2024,FW,"WSG Tirol, Wisła Kraków, Royal Standard de Liège U23, Genoa",POL
Jakub Bursztyn,/en/players/743bb349/Jakub-Bursztyn,True,2017-2022,GK,Pogoń Szczecin,POL
Józef Burta,/en/players/3a41778f/Jozef-Burta,True,2021-2022,GK,,POL
Marcin Bułka,/en/players/db87a2c4/Marcin-Bulka,True,2017-2024,GK,"Nice, Poland, Chelsea U23, Châteauroux, Cartagena",POL
Marcel Bykowski,/en/players/87bb71bc/Marcel-Bykowski,True,2023-2024,FW,Piast Gliwice,POL
Damian Byrtek,/en/players/d3b064db/Damian-Byrtek,True,2011-2020,DF,"Wisła Płock, Podbeskidzie",POL
Fabian Bzdyl,/en/players/b7f31225/Fabian-Bzdyl,True,2023-2024,DF,Cracovia,POL
Adrian Błąd,/en/players/6b3aa33c/Adrian-Blad,True,2009-2017,MF,"Zagłębie Lubin, Arka Gdynia",POL
Dawid Błanik,/en/players/45d2ded9/Dawid-Blanik,True,2017-2024,MF,"Korona Kielce, Pogoń Szczecin",POL
Oliwer Błaszczyk,/en/players/47931b82/Oliwer-Blaszczyk,True,2023-2024,DF,Dortmund U17,POL
Jakub Błaszczykowski,/en/players/2b350e6b/Jakub-Blaszczykowski,True,2004-2023,MF,"Borussia Dortmund, Wisła Kraków, Poland, Wolfsburg, Fiorentina",POL
Wojciech Błyszko,/en/players/fe4d2b22/Wojciech-Blyszko,True,2017-2021,DF,"Eintracht Braunschweig U19, Jagiellonia, Stal Mielec",POL
Matty Cash,/en/players/2389cdc2/Matty-Cash,True,2015-2024,"DF,FW","Aston Villa, Poland, Nottingham Forest, Dagenham & Redbridge",POL
Marcin Cebula,/en/players/585fe6ab/Marcin-Cebula,True,2012-2024,"FW,MF","Raków Częstochowa, Korona Kielce",POL
Alex Cetnar,/en/players/6aec7af5/Alex-Cetnar,True,2023-2024,MF,Stal Mielec,POL
Philip Chadala,/en/players/db8072e3/Philip-Chadala,True,2022-2023,GK,,POL
Mateusz Chmarek,/en/players/671219a1/Mateusz-Chmarek,True,2023-2024,FW,Górnik Zabrze,POL
Damian Chmiel,/en/players/46614e65/Damian-Chmiel,True,2012-2016,MF,Podbeskidzie,POL
Kacper Chodyna,/en/players/8f905aed/Kacper-Chodyna,True,2019-2024,"DF,MF",Zagłębie Lubin,POL
Adam Chojecki,/en/players/856b2d69/Adam-Chojecki,True,2023-2024,MF,Korona Kielce,POL
Mateusz Cholewiak,/en/players/de61056e/Mateusz-Cholewiak,True,2017-2024,MF,"Puszcza Niepołomice, Śląsk Wrocław, Górnik Zabrze, Legia Warsaw",POL
Kacper Chorążka,/en/players/f0d58452/Kacper-Chorazka,True,2017-2022,GK,,POL
Michał Chrapek,/en/players/c3425f82/Michal-Chrapek,True,2009-2024,MF,"Piast Gliwice, Śląsk Wrocław, Wisła Kraków, Lechia Gdańsk, Catania",POL
Paweł Chrupałła,/en/players/8b4bce6e/Pawel-Chrupalla,True,2021-2024,FW,"Sarpsborg 08, Kristiansund, Rosenborg",POL
Adam Chrzanowski,/en/players/e3eda8a0/Adam-Chrzanowski,True,2015-2023,DF,"Wisła Płock, Pordenone Calcio, Lechia Gdańsk",POL
Mateusz Cichocki,/en/players/1136022f/Mateusz-Cichocki,True,2013-2024,DF,"Radomiak Radom, Ruch Chorzów, Zagl Sosnowiec, Legia Warszawa",POL
Kacper Cichon,/en/players/77559f5a/Kacper-Cichon,True,2023-2024,MF,Puszcza Niepołomice,POL
Radosław Cielemęcki,/en/players/fa8fd10d/Radoslaw-Cielemecki,True,2019-2023,MF,Wisła Płock,POL
Bartłomiej Ciepiela,/en/players/b2404807/Bartlomiej-Ciepiela,True,2021-2023,MF,"Stal Mielec, Legia Warsaw",POL
Adrian Cieślewicz,/en/players/4b779cb2/Adrian-Cieslewicz,True,2009-2014,FW,"Wrexham, Kidderminster Harriers",POL
Thiago Cionek,/en/players/46f5c54d/Thiago-Cionek,True,2008-2023,DF,"Jagiellonia, Reggina, Modena, SPAL, Palermo, Padova, Poland",POL
Kamil Cybulski,/en/players/cfa7b20c/Kamil-Cybulski,True,2023-2024,MF,Widzew Łódź,POL
Patryk Czarnowski,/en/players/66dc42b6/Patryk-Czarnowski,True,2021-2022,MF,Bruk-Bet Termalica Nieciecza,POL
Alan Czerwiński,/en/players/2209c211/Alan-Czerwinski,True,2017-2024,"DF,MF","Lech Poznań, Zagłębie Lubin",POL
