Name,url,Active,Years Played,Position,Clubs Played,IOC
Asumah Abubakar,/en/players/f6edb4c2/Asumah-Abubakar,True,2015-2024,FW,"Luzern, Grasshopper, Lugano, MVV Maastricht, Willem II",POR
Francisco Afonso,/en/players/88e66438/Francisco-Afonso,True,2015-2018,DF,Paços de Ferreira,POR
João Afonso,/en/players/a8f07c8f/Joao-Afonso,True,2014-2023,DF,"Santa Clara, Vitória Guimarães, Estoril, Córdoba",POR
Salvador Agra,/en/players/a130741a/Salvador-Agra,True,2011-2024,"FW,MF","Boavista, Nacional, Tondela, Braga, Olhanense, Aves, Granada, Académica, Betis, Cádiz, Siena, Legia",POR
Maria Alagoa,/en/players/8d4540d2/Maria-Alagoa,True,2024,MF,Portugal,POR
Rafael Alcobia,/en/players/4d557d54/Rafael-Alcobia,True,2021-2024,DF,Portimonense,POR
Aldair,/en/players/1a6a3ff0/Aldair,True,2022-2023,DF,Ponferradina,POR
Alexandre Alfaiate,/en/players/c6213b4c/Alexandre-Alfaiate,True,2017-2018,DF,,POR
Dinis Almeida,/en/players/f014e1bd/Dinis-Almeida,True,2015-2024,DF,"Ludogorets Razgrad, Lokomotiv Plovdiv, Antwerp, Xanthi, Belenenses",POR
Diogo Almeida,/en/players/ef8f2194/Diogo-Almeida,True,2019-2020,FW,Paços de Ferreira,POR
Diogo Miguel Guedes Almeida,/en/players/ba6168fe/Diogo-Miguel-Guedes-Almeida,True,2017-2019,DF,Feirense,POR
Domingos André Ribeiro Almeida,/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,True,2018-2024,MF,"Valencia, Vitória Guimarães",POR
Gonçalo Almeida,/en/players/198034b2/Goncalo-Almeida,True,2023-2024,DF,Boavista,POR
Letícia Almeida,/en/players/b3fbca10/Leticia-Almeida,True,2023-2024,MF,SL Benfica,POR
Liliana Almeida,/en/players/5036dc4e/Liliana-Almeida,True,2023-2024,GK,SPG FC Lustenau/FC Dornbirn Ladies,POR
Ricardo Almeida Ribeiro,/en/players/817dd85c/Ricardo-Almeida-Ribeiro,True,2015-2019,FW,,POR
Álvarinho,/en/players/a81bc44d/Alvarinho,True,2013-2021,FW,"Zawisza Bydgoszcz, Śląsk Wrocław, Jagiellonia, Farense",POR
Pedro Álvaro,/en/players/00a2c297/Pedro-Alvaro,True,2021-2024,DF,Estoril,POR
Bruno Miguel Mendes Alves,/en/players/3ce74fbf/Bruno-Miguel-Mendes-Alves,True,2014-2016,MF,Vitória Guimarães,POR
Carlos Alves,/en/players/9dce9412/Carlos-Alves,True,2014-2019,GK,,POR
Lúcia Alves,/en/players/b9a2134c/Lucia-Alves,True,2021-2025,DF,"SL Benfica, Portugal",POR
Luís Alves,/en/players/2102b074/Luis-Alves,True,2021-2023,DF,Paços de Ferreira,POR
Ricardo Miguel Martins Alves,/en/players/cc5eeb16/Ricardo-Miguel-Martins-Alves,True,2014-2022,DF,"Tondela, Concordia Chiajna, Astra Giurgiu",POR
Tiago Alexandre Mendes Alves,/en/players/32d620d1/Tiago-Alexandre-Mendes-Alves,True,2019-2024,FW,"Tokyo Verdy, Montedio Yamagata, Piast Gliwice",POR
Catarina Amado,/en/players/295c95e6/Catarina-Amado,True,2020-2025,DF,"Portugal, SL Benfica",POR
Diogo Amado,/en/players/a4b0da89/Diogo-Amado,True,2010-2017,MF,"Estoril, União de Leiria",POR
Pedro Amador,/en/players/00dad262/Pedro-Amador,True,2019-2024,DF,"Moreirense, Braga",POR
João Amaral,/en/players/ebc533e5/Joao-Amaral,True,2016-2024,"FW,MF","Lech Poznań, Vitória Setúbal, Paços de Ferreira",POR
Pedro Amaral,/en/players/8dbc3f20/Pedro-Amaral,True,2018-2024,DF,"PAS Lamia, Rio Ave, Panetolikos, Al-Khaleej",POR
André Amaro,/en/players/cdb9b8f2/Andre-Amaro,True,2020-2023,DF,Vitória Guimarães,POR
Artur Jorge Marques Amorim,/en/players/801f3d1d/Artur-Jorge-Marques-Amorim,True,2016-2024,DF,"Farense, Vitória Setúbal, Moreirense, Braga",POR
João Amorim,/en/players/87a3985d/Joao-Amorim,True,2019-2020,MF,Arda,POR
João Amorim,/en/players/8b1778b4/Joao-Amorim,True,2011-2016,DF,"Vitória Guimarães, Belenenses",POR
Bruno Andrade,/en/players/6e87c80f/Bruno-Andrade,True,2010-2024,"FW,MF","Chesham United FC, Boreham Wood, Lincoln City, Stevenage, Woking, Salford City FC, Wycombe Wanderers",POR
Luis Miguel Pinheiro Andrade,/en/players/440ba161/Luis-Miguel-Pinheiro-Andrade,True,2015-2016,MF,Boavista,POR
André André,/en/players/9f31b1d3/Andre-Andre,True,2012-2024,MF,"Vitória Guimarães, Porto, Al-Ittihad, Portugal",POR
Andrezinho,/en/players/b5f64a52/Andrezinho,True,2022-2023,FW,Santa Clara,POR
Vitorino Antunes,/en/players/3e4f735d/Vitorino-Antunes,True,2006-2023,DF,"Paços de Ferreira, Getafe, Málaga, Dynamo Kyiv, Leixões, Lecce, Portugal, Panionios, Sporting CP, Ro",POR
Pedro Aparício,/en/players/0bd8952e/Pedro-Aparicio,True,2023-2024,MF,Moreirense,POR
Alexis Araujo,/en/players/ca56de6e/Alexis-Araujo,True,2015-2022,MF,"Gazélec Ajaccio, Créteil",POR
Henrique Araújo,/en/players/353eb529/Henrique-Araujo,True,2021-2024,FW,"Famalicão, Benfica, Watford",POR
Guilherme Araújo Soares,/en/players/925dd6eb/Guilherme-Araujo-Soares,True,2020-2022,DF,,POR
Tiago Araújo,/en/players/1b54edb3/Tiago-Araujo,True,2020-2024,"DF,MF","Estoril, Arouca",POR
Tomás Araújo,/en/players/0fa11d7d/Tomas-Araujo,True,2021-2024,DF,"Benfica, Gil Vicente",POR
Rui Areias,/en/players/6d617122/Rui-Areias,True,2014-2017,FW,Vitória Guimarães,POR
Gustavo Assuncao,/en/players/065c8786/Gustavo-Assuncao,True,2018-2024,MF,Famalicão,POR
Douglas Aurélio,/en/players/2775c549/Douglas-Aurelio,True,2018-2019,FW,,POR
João Aurélio,/en/players/05a275e0/Joao-Aurelio,True,2008-2020,"DF,MF","Nacional, Vitória Guimarães, Moreirense",POR
Luís Aurélio,/en/players/c3767acc/Luis-Aurelio,True,2014-2021,MF,"Feirense, Nacional, Gaz Metan Mediaș, CFR Cluj",POR
Daniel Azevedo,/en/players/8b2cba78/Daniel-Azevedo,True,2023-2024,GK,Casa Pia,POR
Mariana Azevedo,/en/players/f5273090/Mariana-Azevedo,True,2021-2023,DF,,POR
Marco Baixinho,/en/players/11db0750/Marco-Baixinho,True,2015-2022,"DF,MF",Paços de Ferreira,POR
Elves Baldé,/en/players/4a021afe/Elves-Balde,True,2017-2024,MF,Farense,POR
Fabio Baldé,/en/players/54b140c0/Fabio-Balde,True,2021-2024,MF,"Hamburger SV U19, Hamburger SV U17",POR
Joao Balde,/en/players/739e19c9/Joao-Balde,True,2022-2024,FW,Arbroath,POR
Mamadu Baldé,/en/players/a760d235/Mamadu-Balde,True,2021-2024,MF,RB Leipzig U17,POR
Saido Baldé,/en/players/bc80d956/Saido-Balde,True,2021-2024,FW,"Hamburger SV U19, Hamburger SV U17",POR
Miguel Bandarra,/en/players/1e4684e8/Miguel-Bandarra,True,2020-2021,DF,Farense,POR
Daniel Bandeira,/en/players/56fca564/Daniel-Bandeira,True,2021-2024,MF,"Vitória Guimarães, Hellas Verona",POR
Mauro Bandeira,/en/players/9b67eca8/Mauro-Bandeira,True,2021-2024,MF,"Colchester United, Arsenal, Arsenal U21",POR
Rafael Bandeira,/en/players/0bcc757d/Rafael-Bandeira,True,2020-2024,DF,"Kryvbas Kryvyi Rih, Amiens",POR
Fabinho Baptista,/en/players/e4bf4973/Fabinho-Baptista,True,2022-2023,DF,,POR
Diogo Barbosa,/en/players/d0816af3/Diogo-Barbosa,True,2022-2024,MF,Botev Vratsa,POR
Rafael Barbosa,/en/players/2a34574e/Rafael-Barbosa,True,2017-2024,"FW,MF","Farense, Tondela, Portimonense",POR
Romário Baró,/en/players/a4e16ab4/Romario-Baro,True,2019-2024,MF,"Porto, Casa Pia, Estoril",POR
Afonso Bastardo,/en/players/7f3f5aa6/Afonso-Bastardo,True,2022-2024,FW,"Gil Vicente, Sporting CP",POR
Gil Bastião Dias,/en/players/e61bdd69/Gil-Bastiao-Dias,True,2015-2024,"DF,FW","Legia Warsaw, Rio Ave, Famalicão, Fiorentina, Nottingham Forest, Monaco, Benfica, Granada, Olympiaco",POR
Vítor Bastos,/en/players/46aacefb/Vitor-Bastos,True,2008-2016,DF,"Istra 1961, Olhanense",POR
Gilberto Batista,/en/players/f16755ca/Gilberto-Batista,True,2023-2024,DF,Moreirense,POR
Ricardo Batista,/en/players/abef8824/Ricardo-Batista,True,2005-2024,GK,"Casa Pia, Wycombe Wanderers, Vitória Setúbal, Olhanense, Milton Keynes Dons, Gaz Metan Mediaș",POR
Hugo Beato,/en/players/c27697dd/Hugo-Beato,True,2023-2024,DF,FC Bassin d'Arcachon,POR
Benny,/en/players/6cb8db0f/Benny,True,2022-2024,MF,Chaves,POR
Berna,/en/players/1c14c246/Berna,True,2020-2022,MF,,POR
Berna,/en/players/b9ab1df7/Berna,True,2021-2024,MF,Boavista,POR
Paulo Bernardo,/en/players/4142f132/Paulo-Bernardo,True,2020-2024,MF,"Celtic, Benfica, Paços de Ferreira",POR
Celton Biai,/en/players/545599ea/Celton-Biai,True,2019-2026,GK,"Dordrecht, Portugal, Vitória Guimarães",POR
José Bica,/en/players/d37aab95/Jose-Bica,True,2020-2022,FW,,POR
Aylton Boa Morte,/en/players/b0332f23/Aylton-Boa-Morte,True,2017-2024,"FW,MF","Kayserispor, Portimonense, Estoril",POR
Kiko Bondoso,/en/players/eb60757f/Kiko-Bondoso,True,2021-2024,"FW,MF","Vizela, Maccabi Tel Aviv FC",POR
Ana Borges,/en/players/9715580f/Ana-Borges,True,2016-2025,"DF,FW",Portugal,POR
Eduardo Borges,/en/players/48e49a24/Eduardo-Borges,True,2022-2024,DF,Chaves,POR
Gonçalo Borges,/en/players/4d1c4a5d/Goncalo-Borges,True,2021-2024,MF,Porto,POR
Mika Borges,/en/players/9fb2f4f9/Mika-Borges,True,2018-2019,FW,,POR
Rodrigo Borges,/en/players/4b2ef752/Rodrigo-Borges,True,2020-2021,DF,,POR
Daniel Bragança,/en/players/0c152537/Daniel-Braganca,True,2020-2024,MF,Sporting CP,POR
Gabriel Brás,/en/players/8a7d7e39/Gabriel-Bras,True,2023-2024,DF,Porto,POR
Sara Brasil,/en/players/46e742ed/Sara-Brasil,True,2019-2020,FW,,POR
David Brazão,/en/players/c6175ea8/David-Brazao,True,2023,FW,Pacific FC,POR
Pedro Brazão,/en/players/0589c701/Pedro-Brazao,True,2018-2023,MF,"Lausanne-Sport, Famalicão",POR
Breno,/en/players/5c718115/Breno,True,2019-2020,DF,,POR
Rúben Brígido,/en/players/ac11bcb9/Ruben-Brigido,True,2009-2020,MF,"Beroe, União de Leiria, Marítimo, Oțelul Galați",POR
Rafael Brito,/en/players/447390cc/Rafael-Brito,True,2021-2024,DF,"Casa Pia, Marítimo",POR
Bruma,/en/players/5caa62a7/Bruma,True,2012-2024,"FW,MF","Braga, Portugal, PSV Eindhoven, Galatasaray, RB Leipzig, Real Sociedad, Olympiacos, Sporting CP",POR
David Bruno,/en/players/4b9e5cba/David-Bruno,True,2016-2022,DF,"Tondela, Astra Giurgiu, Estoril",POR
Vítor Bruno,/en/players/f62af95a/Vitor-Bruno,True,2014-2019,DF,"Feirense, CFR Cluj, Penafiel, Boavista",POR
Bura,/en/players/8c253a30/Bura,True,2010-2015,DF,"Beira-Mar, Paços de Ferreira, Penafiel",POR
Aurélio Buta,/en/players/b4705807/Aurelio-Buta,True,2017-2024,"DF,MF","Eintracht Frankfurt, Antwerp",POR
Leonardo Buta,/en/players/dee3d535/Leonardo-Buta,True,2021-2024,DF,"Gil Vicente, Braga",POR
Hélder Cabral,/en/players/64a53afb/Helder-Cabral,True,2005-2015,DF,"Académica, Estrela, Vitória Setúbal, Vitória Guimarães, APOEL FC, Vejle BK",POR
Paulo Henrique Rodrigues Cabral,/en/players/750e1b50/Paulo-Henrique-Rodrigues-Cabral,True,2015-2023,DF,Santa Clara,POR
Cafú,/en/players/85322440/Cafu,True,2014-2024,MF,"Rotherham United, Vitória Guimarães, Nottingham Forest, Legia Warszawa, Lorient, Metz, Olympiacos",POR
João Caiado,/en/players/508433d7/Joao-Caiado,True,2018-2022,MF,,POR
Diogo Calila,/en/players/32044ced/Diogo-Calila,True,2018-2023,"DF,MF","Belenenses SAD, Santa Clara",POR
João Pedro Gomes Camacho,/en/players/31c3caea/Joao-Pedro-Gomes-Camacho,True,2013-2024,"FW,MF","Moreirense, Nacional",POR
Beatriz Cameirão,/en/players/041fb27d/Beatriz-Cameirao,True,2020-2022,MF,SL Benfica,POR
Ieltsin Camões,/en/players/ee97a8f8/Ieltsin-Camoes,True,2023-2024,FW,Brage,POR
Angelo Campos,/en/players/8706d796/Angelo-Campos,True,2018-2021,FW,St. Gallen,POR
João Cancelo,/en/players/bd6351cd/Joao-Cancelo,True,2013-2024,"DF,MF","Portugal, Barcelona, Manchester City, Valencia, Juventus, Internazionale, Bayern Munich",POR
Daniel Candeias,/en/players/0366fc78/Daniel-Candeias,True,2008-2023,"FW,MF","Alanyaspor, Nacional, Rangers, Gençlerbirliği, Metz, Portimonense, Nürnberg, Paços de Ferreira, Gran",POR
Ana Capeta,/en/players/1edb54e3/Ana-Capeta,True,2019-2025,MF,Portugal,POR
Aldaír Caputa,/en/players/4709c929/Aldair-Caputa,True,2020-2024,MF,"Botoșani, Etar",POR
Fábio Cardoso,/en/players/4a5839fa/Fabio-Cardoso,True,2014-2024,DF,"Porto, CD Santa Clara, Paços de Ferreira, Vitória Setúbal, Rangers",POR
Gonçalo Cardoso,/en/players/47760615/Goncalo-Cardoso,True,2012-2024,DF,"Lokomotiv Sofia, West Ham United U23, Boavista, Basel",POR
Miguel Filipe Nunes Cardoso,/en/players/f9c7bf18/Miguel-Filipe-Nunes-Cardoso,True,2014-2024,"FW,MF","Kayserispor, Belenenses SAD, Dynamo Moscow, Deportivo La Coruña",POR
José Carlos,/en/players/4e2da7f7/Jose-Carlos,True,2020-2024,DF,"Gil Vicente, Ibiza, Braga",POR
José Carlos Marafona,/en/players/8ac7161e/Jose-Carlos-Marafona,True,2014-2023,GK,"Alanyaspor, Braga, Paços de Ferreira, Moreirense",POR
João Carlos Teixeira,/en/players/601299e9/Joao-Carlos-Teixeira,True,2013-2024,MF,"Shanghai Shenhua, Vitória Guimarães, Brighton & Hove Albion, Feyenoord, Braga, Famalicão, Liverpool,",POR
Zé Carlos,/en/players/8bc1f137/Ze-Carlos,True,2022-2024,MF,Vitória Guimarães,POR
Alex Carneiro,/en/players/b0acc2d6/Alex-Carneiro,True,2023-2024,GK,CS Neuvillois,POR
Marc Carneiro,/en/players/8244b7b7/Marc-Carneiro,True,2019-2024,DF,Stade Plabennecois,POR
