Name,url,Active,Years Played,Position,Clubs Played,IOC
Vlad Achim,/en/players/c4f42d8a/Vlad-Achim,True,2009-2024,MF,"FC U Craiova, Ceahlăul Piatra Neamț, Viitorul Constanța, Dinamo București, Steaua București, Volunta",ROU
Mihai Adăscăliței,/en/players/4b9da0cc/Mihai-Adascalitei,True,2023-2024,MF,Oțelul Galați,ROU
Ionut Ailenei,/en/players/c90b6ad9/Ionut-Ailenei,True,2023-2024,GK,Politehnica Iași,ROU
Mihai Aioani,/en/players/77ff2c28/Mihai-Aioani,True,2019-2024,GK,"Farul Constanța, Rapid București, Romania, Chindia Târgoviște",ROU
Ümit Akdag,/en/players/d746900e/Umit-Akdag,True,2021-2023,DF,,ROU
Constantin Albu,/en/players/0ae7460a/Constantin-Albu,True,2017-2024,MF,"FC U Craiova, Jong Utrecht",ROU
Cristian Albu,/en/players/54691795/Cristian-Albu,True,2014-2024,"DF,MF","Rapid București, Concordia Chiajna, UTA Arad, FC Academica Clinceni",ROU
Calota Alessio,/en/players/8f2060e0/Calota-Alessio,True,2023-2024,UTA Arad,,ROU
Valentin Alexandru,/en/players/f13b4ff5/Valentin-Alexandru,True,2016-2019,FW,"Dunărea Călărași, Pandurii Târgu Jiu, Concordia Chiajna",ROU
Denis Alibec,/en/players/a1474d8e/Denis-Alibec,True,2008-2024,FW,"Romania, Astra Giurgiu, Farul Constanța, FCSB, Viitorul Constanța, CFR Cluj, Kayserispor, Atromitos,",ROU
Costin Amzăr,/en/players/6abe948b/Costin-Amzar,True,2021-2024,DF,Dinamo București,ROU
Florin Andone,/en/players/dc008610/Florin-Andone,True,2014-2024,FW,"Eldense, Deportivo La Coruña, Córdoba, Brighton & Hove Albion, Romania, Las Palmas, Galatasaray, Cád",ROU
Doru Andrei,/en/players/c46fa8e3/Doru-Andrei,True,2022-2024,MF,Voluntari,ROU
Robert Andrei Ion,/en/players/cfc029e3/Robert-Andrei-Ion,True,2019-2024,MF,"Politehnica Iași, FC Academica Clinceni, Farul Constanța, Voluntari",ROU
Ionuț Andrei Șerban,/en/players/353756af/Ionut-Andrei-Serban,True,2013-2023,MF,"Argeș Pitești, Viitorul Constanța",ROU
Costinel Andrei Tofan,/en/players/0cc71218/Costinel-Andrei-Tofan,True,2020-2023,DF,Argeș Pitești,ROU
Vlăduţ Andreș,/en/players/385ec514/Vladut-Andres,True,2021-2024,DF,Voluntari,ROU
Luca Andronache,/en/players/50100289/Luca-Andronache,True,2019-2024,FW,"Farul Constanța, Viitorul Constanța",ROU
Liviu Antal,/en/players/6eaacf61/Liviu-Antal,True,2009-2023,MF,"Oțelul Galați, Vaslui, UTA Arad, Mioveni, Pandurii Târgu Jiu, Gençlerbirliği, CFR Cluj",ROU
Paul Anton,/en/players/c7723cf0/Paul-Anton,True,2009-2023,MF,"Pandurii Târgu Jiu, Dinamo București, Samara, Gloria Bistrița, Ponferradina, Getafe, UTA Arad, Roman",ROU
Andrei Artean,/en/players/1500c475/Andrei-Artean,True,2015-2024,"DF,MF","Farul Constanța, Romania, Viitorul Constanța, Poli Timișoara",ROU
Robert Bădescu,/en/players/813d01be/Robert-Badescu,True,2022-2024,DF,Rapid București,ROU
Stefan Baiaram,/en/players/af041fb8/Stefan-Baiaram,True,2019-2024,"FW,MF",CS Universitatea Craiova,ROU
Ioana Balaceanu,/en/players/76bf0e39/Ioana-Balaceanu,True,2019-2025,MF,Romania,ROU
Claudiu Balan,/en/players/40f997a8/Claudiu-Balan,True,2021-2024,FW,"PAS Giannina, FC U Craiova",ROU
Mihai Bălașa,/en/players/cb85d8d0/Mihai-Balasa,True,2012-2024,DF,"Sepsi Sfântu Gheorghe, Steaua București, CS Universitatea Craiova, Crotone, Viitorul Constanța, Trap",ROU
Silviu Balaure,/en/players/45af5ced/Silviu-Balaure,True,2013-2024,"FW,MF","FC Sibiu, Astra Giurgiu",ROU
Raul Bălbărău,/en/players/d08abec0/Raul-Balbarau,True,2022-2024,GK,Petrolul Ploiești,ROU
Cristian Bălgrădean,/en/players/60a6fe9c/Cristian-Balgradean,True,2010-2024,GK,"CFR Cluj, Dinamo București, Concordia Chiajna, FCSB, Universitatea Craiova, Unirea Urziceni",ROU
Alexandru Băluță,/en/players/baa82726/Alexandru-Baluta,True,2013-2024,"FW,MF","FCSB, Universitatea Craiova, Puskás Akadémia, Slavia Praha, Viitorul Constanța, Slovan Liberec, Roma",ROU
Tudor Băluță,/en/players/ed33f42d/Tudor-Baluta,True,2015-2024,"DF,MF","Farul Constanța, Romania, Viitorul Constanța, Brighton & Hove Albion U23, ADO Den Haag, Dynamo Kyiv",ROU
Stefan Bana,/en/players/10744d3e/Stefan-Bana,True,2023-2024,FW,CS Universitatea Craiova,ROU
Nicușor Bancu,/en/players/99847dc0/Nicusor-Bancu,True,2014-2024,"DF,MF","CS Universitatea Craiova, Romania",ROU
Ahmed Bani Mustafa,/en/players/60ffb375/Ahmed-Bani-Mustafa,True,2018-2024,MF,Dinamo București,ROU
Luca Banu,/en/players/deee4c68/Luca-Banu,True,2022-2024,FW,Farul Constanța,ROU
Alexandru Bănuță,/en/players/2ba89941/Alexandru-Banuta,True,2007-2023,MF,,ROU
David Barbu,/en/players/48edbc0f/David-Barbu,True,2023-2024,FW,CS Universitatea Craiova,ROU
Luca Bărbulescu,/en/players/050cca5d/Luca-Barbulescu,True,2023-2024,FW,Augsburg U17,ROU
Cristian Bărbuț,/en/players/dd8f5835/Cristian-Barbut,True,2013-2024,"FW,MF","FC Sibiu, Universitatea Craiova, Poli Timișoara, Sepsi Sfântu Gheorghe",ROU
Mara Bâtea,/en/players/7d48eb40/Mara-Batea,True,2017-2025,MF,Romania,ROU
Hunor Batzula,/en/players/ee9d58e6/Hunor-Batzula,True,2023-2024,MF,Sepsi Sfântu Gheorghe,ROU
Răzvan Began,/en/players/24dec25b/Razvan-Began,True,2018-2024,GK,"Botoșani, Dinamo București, Sepsi Sfântu Gheorghe",ROU
Florin Bejan,/en/players/b011358e/Florin-Bejan,True,2012-2024,DF,"FC Sibiu, Astra Giurgiu, Târgu Mureș, Viitorul Constanța, Dinamo București, Cracovia, FC Academica C",ROU
Claudiu Belu-Iordache,/en/players/ba9da7e3/Claudiu-Belu-Iordache,True,2012-2024,DF,"Politehnica Iași, Astra Giurgiu, Poli Timișoara, Rapid București, FC Sibiu, Concordia Chiajna, Volun",ROU
Alexandru Benga,/en/players/f02235b3/Alexandru-Benga,True,2011-2024,"DF,MF","UTA Arad, Petrolul Ploiești, Chindia Târgoviște, Septemvri Sofia, Oțelul Galați, Juventus București,",ROU
Denis Benga,/en/players/c9726fb2/Denis-Benga,True,2021-2024,DF,CS Universitatea Craiova,ROU
Romario Benzar,/en/players/2e3596d1/Romario-Benzar,True,2012-2024,"DF,MF","Botoșani, Viitorul Constanța, FCSB, Romania, UTA Arad, Farul Constanța, Lecce, Perugia",ROU
Ovidiu Bic,/en/players/b627ed26/Ovidiu-Bic,True,2016-2024,MF,"Universitatea Cluj, Gaz Metan Mediaș, Universitatea Craiova, Chindia Târgoviște",ROU
Ionuț Biceanu,/en/players/f5d1987a/Ionut-Biceanu,True,2017-2024,MF,"FC Sibiu, Astra Giurgiu",ROU
