Name,url,Active,Years Played,Position,Clubs Played,IOC
Azeem Abdulai,/en/players/a0893a41/Azeem-Abdulai,True,2020-2024,MF,"Swansea City, Leicester City U23",SCO
Josh Adam,/en/players/6ab21101/Josh-Adam,True,2021-2024,MF,Manchester City U21,SCO
Alasdair Adams,/en/players/0fc24495/Alasdair-Adams,True,2023-2024,GK,Arbroath,SCO
Che Adams,/en/players/f2bf1b0f/Che-Adams,True,2014-2024,"FW,MF","Southampton, Scotland, Birmingham City, Sheffield United",SCO
Scott Agnew,/en/players/d64854db/Scott-Agnew,True,2012-2016,MF,"Dumbarton, St Mirren",SCO
Jack Aitchison,/en/players/cd3110c7/Jack-Aitchison,True,2015-2024,"FW,MF","Exeter City, Forest Green Rovers, Stevenage, Barnsley, Motherwell, Alloa Athletic, Celtic",SCO
Jamal Akaaboune,/en/players/d559c108/Jamal-Akaaboune,True,2023-2024,MF,SSEP Hombourg-Haut,SCO
Tom Aldred,/en/players/2a75e914/Tom-Aldred,True,2009-2024,DF,"Brisbane Roar, Blackpool, Accrington Stanley, Motherwell, Bury, Barrow, Stockport County, Carlisle U",SCO
Lee Alexander,/en/players/c44c3aac/Lee-Alexander,True,2017-2025,GK,"Scotland, Glasgow City",SCO
Connor Allan,/en/players/ee13674a/Connor-Allan,True,2022-2023,MF,,SCO
Jordan Allan,/en/players/dd91bb28/Jordan-Allan,True,2012-2018,FW,,SCO
Matty Allan,/en/players/203c7d6b/Matty-Allan,True,2014-2015,DF,,SCO
Paul Allan,/en/players/8f0c8e0b/Paul-Allan,True,2018-2024,MF,Dunfermline Athletic,SCO
Scott Allan,/en/players/fbd29892/Scott-Allan,True,2011-2024,MF,"Arbroath, Hibernian, Portsmouth, Dundee, Celtic, Rotherham United, Dundee United, Inverness CT, Birm",SCO
Rudi Allan-Molotnikov,/en/players/84f8d34c/Rudi-Allan-Molotnikov,True,2023-2024,MF,Hibernian,SCO
Scott Allardice,/en/players/a437827a/Scott-Allardice,True,2016-2024,MF,"Ross County, Inverness CT, Dundee United",SCO
Blair Alston,/en/players/ad73a15b/Blair-Alston,True,2010-2024,MF,"Partick Thistle, Falkirk, St Johnstone, Kilmarnock, Hamilton Academical",SCO
Bruce Anderson,/en/players/cf3dde36/Bruce-Anderson,True,2018-2024,FW,"Livingston, Aberdeen, Dunfermline Athletic, Hamilton Academical, Ayr United",SCO
Elliot Anderson,/en/players/de31038e/Elliot-Anderson,True,2019-2024,MF,"Newcastle United, Newcastle United U23, Bristol Rovers",SCO
Max Anderson,/en/players/e8d431fb/Max-Anderson,True,2018-2024,MF,"Dundee, Inverness CT",SCO
Vincent Angelini,/en/players/536e58cc/Vincent-Angelini,True,2021-2024,GK,Brentford,SCO
Louis Appere,/en/players/fb4de109/Louis-Appere,True,2017-2024,"FW,MF","Northampton Town, Dundee United",SCO
Robert Apter,/en/players/1c12ee0a/Robert-Apter,True,2020-2024,MF,"Tranmere Rovers, Blackpool, Scunthorpe United",SCO
Jordan Archer,/en/players/480c4a00/Jordan-Archer,True,2012-2024,GK,"Queens Park Rangers, Millwall, Wycombe Wanderers, Northampton Town, Oxford United, Middlesbrough, Mo",SCO
Theo Archibald,/en/players/8bb20652/Theo-Archibald,True,2017-2024,"FW,MF","Leyton Orient, Macclesfield Town, Forest Green Rovers, Lincoln City, Brentford",SCO
Jack Armer,/en/players/e521925c/Jack-Armer,True,2019-2024,"DF,MF",Carlisle United,SCO
Ben Armour,/en/players/2698c288/Ben-Armour,True,2016-2019,FW,Greenock Morton,SCO
