Name,url,Active,Years Played,Position,Clubs Played,IOC
Miloš Adamović,/en/players/1d326525/Milos-Adamovic,True,2006-2024,"DF,MF","Javor Ivanjica, Mačva Šabac, Radnik Surdulica, OFK Beograd, Mladost Lučani, Vasas, FC Sheriff Tirasp",SRB
Luka Adžić,/en/players/e3207d47/Luka-Adzic,True,2016-2024,MF,"Čukarički, Red Star, Zwolle, Emmen, Ankaragücü, Anderlecht",SRB
Edin Ajdinović,/en/players/e044ba5a/Edin-Ajdinovic,True,2019-2024,MF,"FK IMT Novi Beograd, Voždovac",SRB
Aleksandar Aleksic,/en/players/36e7c643/Aleksandar-Aleksic,True,2023-2024,MF,Javor Ivanjica,SRB
Danijel Aleksić,/en/players/d68cb24c/Danijel-Aleksic,True,2008-2024,"FW,MF","İstanbul Başakşehir, St. Gallen, Vojvodina, Yeni Malatyaspor, Greuther Fürth, Saint-Étienne, Lechia",SRB
Kosta Aleksic,/en/players/b41884ec/Kosta-Aleksic,True,2018-2024,FW,"Panserraikos, Inđija, Čukarički, Napredak Kruševac",SRB
Milan Aleksić,/en/players/c79f7793/Milan-Aleksic,True,2023-2024,FW,Radnički Kragujevac,SRB
Ognjen Alempijevic,/en/players/ccf02f1c/Ognjen-Alempijevic,True,2023-2024,FW,Mladost Lučani,SRB
Semir Alić,/en/players/771b45e4/Semir-Alic,True,2020-2024,DF,Novi Pazar,SRB
Aleksa Andrejić,/en/players/f1707537/Aleksa-Andrejic,True,2019-2020,FW,,SRB
Komnen Andrić,/en/players/af3ddb2e/Komnen-Andric,True,2012-2024,FW,"Clermont Foot, Dinamo Zagreb, Inter Zaprešić, OFK Beograd, Radnički Kragujevac, Ufa, Belenenses",SRB
Nikola Andrić,/en/players/2b04890a/Nikola-Andric,True,2017-2024,MF,Mladost Lučani,SRB
Nikola Andrić,/en/players/9f8ec0fd/Nikola-Andric,True,2016-2024,DF,"Mladost Lučani, Novi Pazar, Vojvodina, Radnički Kragujevac, Radnički Niš",SRB
Nemanja Andrijanić,/en/players/15423d79/Nemanja-Andrijanic,True,2018-2022,GK,,SRB
Nikola Antić,/en/players/ac432dfd/Nikola-Antic,True,2012-2024,DF,"Partizan, Vojvodina, Rad, FC Khimki, Jagodina",SRB
Goran Antonić,/en/players/d1046335/Goran-Antonic,True,2010-2024,DF,"TSC, Spartak Subotica",SRB
Filip Antonijević,/en/players/61162038/Filip-Antonijevic,True,2020-2024,DF,"Voždovac, Vojvodina, Metalac GM",SRB
Nemanja Antonov,/en/players/5fd63a1d/Nemanja-Antonov,True,2012-2024,DF,"MTK Budapest, Újpest, Grasshopper, OFK Beograd, Excel Mouscron, Partizan",SRB
Jovan Anđelković,/en/players/b2059bcb/Jovan-Andjelkovic,True,2022-2024,FW,Radnik Surdulica,SRB
Nemanja Anđelkovic,/en/players/d5805cbe/Nemanja-Andjelkovic,True,2020-2021,DF,Zlatibor Čajetina,SRB
Željko Arsić,/en/players/19f76b04/Zeljko-Arsic,True,2018-2024,FW,"FK IMT Novi Beograd, OFK Bačka",SRB
Marko Arsovic,/en/players/886eef9d/Marko-Arsovic,True,2023-2024,FW,Čukarički,SRB
Filip Avrić,/en/players/973f89fe/Filip-Avric,True,2020-2022,MF,Voždovac,SRB
Ilija Babić,/en/players/3af1fe0c/Ilija-Babic,True,2022-2024,FW,"Spartak Subotica, Voždovac, FK Mladost Novi Sad",SRB
