Name,url,Active,Years Played,Position,Clubs Played,IOC
Mohsen Abdeljaoued,/en/players/726d6d4d/Mohsen-Abdeljaoued,True,2023-2024,MF,Lausanne-Sport,SUI
Kemal Ademi,/en/players/b3c14bff/Kemal-Ademi,True,2018-2024,FW,"Luzern, Basel, Neuchâtel Xam, Sandhausen, FC Khimki, Fenerbahçe, Paderborn 07, Fatih Karagümrük",SUI
Orhan Ademi,/en/players/681f5bbe/Orhan-Ademi,True,2008-2023,FW,"Eintracht Braunschweig, Würzburger Kickers, MSV Duisburg, Ried, Aalen, VfB Oldenburg, UTA Arad",SUI
Sophie Aeberhard,/en/players/4023db1e/Sophie-Aeberhard,True,2021-2024,DF,"Thun Berner-Oberland, FC Aarau",SUI
Yael Aeberhard,/en/players/91fa4884/Yael-Aeberhard,True,2021-2024,MF,St. Gallen-Staad,SUI
Michel Aebischer,/en/players/f9c927de/Michel-Aebischer,True,2016-2024,MF,"Bologna, Switzerland, Young Boys",SUI
Jose Aguilar,/en/players/7fd7eed0/Jose-Aguilar,True,2018-2023,MF,Sion,SUI
Eseosa Aigbogun,/en/players/2dee6fe8/Eseosa-Aigbogun,True,2015-2024,"DF,FW","AS Roma, Paris FC, Switzerland, Turbine Potsdam",SUI
Adonis Ajeti,/en/players/75f63b61/Adonis-Ajeti,True,2015-2021,DF,,SUI
Albian Ajeti,/en/players/2b1c4abd/Albian-Ajeti,True,2013-2024,FW,"Basel, Gaziantep FK, St. Gallen, Celtic, Sturm Graz, West Ham United, Switzerland",SUI
Marvin Akahomen,/en/players/f5c2c28e/Marvin-Akahomen,True,2022-2024,DF,Basel,SUI
Manuel Akanji,/en/players/89ac64a6/Manuel-Akanji,True,2015-2024,"DF,MF","Manchester City, Switzerland, Borussia Dortmund, Basel",SUI
Izer Aliu,/en/players/2e741250/Izer-Aliu,True,2017-2020,MF,Zürich,SUI
Harun Alpsoy,/en/players/1855d263/Harun-Alpsoy,True,2015-2021,MF,"Antalyaspor, Grasshopper",SUI
Samuel Althaus,/en/players/c9e3fc8e/Samuel-Althaus,True,2022-2024,MF,"1860 Munich U19, 1860 Munich U17",SUI
Ricardo Alves,/en/players/93254558/Ricardo-Alves,True,2019-2024,MF,"Yverdon-Sport, Servette, St. Gallen",SUI
Roberto Alves,/en/players/c37d200c/Roberto-Alves,True,2015-2024,MF,Radomiak Radom,SUI
Zeki Amdouni,/en/players/2ee5b0c9/Zeki-Amdouni,True,2021-2024,"FW,MF","Burnley, Switzerland, Basel, Lausanne-Sport",SUI
Aurele Amenda,/en/players/1227a22d/Aurele-Amenda,True,2020-2024,DF,Young Boys,SUI
Yasmine Ammar,/en/players/37ea39b3/Yasmine-Ammar,True,2022-2024,GK,Lyon,SUI
Nicholas Ammeter,/en/players/3955160d/Nicholas-Ammeter,True,2021-2024,GK,Las Vegas Lights FC,SUI
Nicolas Andermatt,/en/players/a994567b/Nicolas-Andermatt,True,2017-2023,MF,"Meppen, SpVgg Bayreuth",SUI
Lydia Andrade,/en/players/221e533d/Lydia-Andrade,True,2019-2025,FW,"RB Leipzig, Meppen, Zürich",SUI
Martin Angha,/en/players/41a1a2c8/Martin-Angha,True,2012-2024,DF,"Wehen Wiesbaden, Fortuna Sittard, St. Gallen, Sion, 1860 Munich, Nürnberg, Al-Adalah",SUI
Johann Angstmann,/en/players/95de6e43/Johann-Angstmann,True,2022-2024,MF,Lugano,SUI
Alexis Antunes,/en/players/c0eeaa39/Alexis-Antunes,True,2019-2024,MF,Servette,SUI
Musa Araz,/en/players/6e8272e0/Musa-Araz,True,2016-2024,MF,"FC Winterthur, Sion, Lausanne-Sport, Konyaspor, Xamax",SUI
Amira Arfaoui,/en/players/43b64ff1/Amira-Arfaoui,True,2020-2025,FW,"Leverkusen, Nürnberg, Switzerland",SUI
Allan Arigoni,/en/players/dbb2db3d/Allan-Arigoni,True,2017-2024,DF,"Lugano, Chicago Fire, Grasshopper",SUI
Remo Arnold,/en/players/99dd427a/Remo-Arnold,True,2015-2024,"DF,MF","FC Winterthur, Luzern",SUI
Leon Avdullahu,/en/players/65772516/Leon-Avdullahu,True,2022-2024,MF,Basel,SUI
Inès Aymon,/en/players/37984f27/Ines-Aymon,True,2023-2024,MF,Thun Berner-Oberland,SUI
Boris Babic,/en/players/31aa2a27/Boris-Babic,True,2016-2024,FW,"Lugano, St. Gallen",SUI
Eva Bachmann,/en/players/ee25d2d3/Eva-Bachmann,True,2021-2024,MF,St. Gallen-Staad,SUI
Ramona Bachmann,/en/players/28392158/Ramona-Bachmann,True,2015-2025,"FW,MF","Paris Saint-Germain, Switzerland, Houston Dash, Chelsea, Wolfsburg",SUI
Sinclair Baddy Dega,/en/players/419db4d6/Sinclair-Baddy-Dega,True,2017-2018,DF,,SUI
Labinot Bajrami,/en/players/6c3c654e/Labinot-Bajrami,True,2023-2024,FW,Zürich,SUI
Ashvin Balaruban,/en/players/bdbe8183/Ashvin-Balaruban,True,2019-2021,DF,Luzern,SUI
Samuel Ballet,/en/players/51a8246e/Samuel-Ballet,True,2019-2024,FW,"FC Winterthur, Como",SUI
David von Ballmoos,/en/players/f7b10c66/David-von-Ballmoos,True,2014-2024,GK,"Young Boys, Switzerland",SUI
Jan Bamert,/en/players/a29796be/Jan-Bamert,True,2015-2022,DF,"Sion, Grasshopper",SUI
Joni Bandi,/en/players/fbaf97e5/Joni-Bandi,True,2021-2024,DF,"Thun Berner-Oberland, BSC YB Frauen",SUI
André Barbosa,/en/players/1777d14e/Andre-Barbosa,True,2018-2023,DF,"Freiburg U19, SC Freiburg II",SUI
Gabriel Bares,/en/players/5475a510/Gabriel-Bares,True,2020-2024,MF,"US Concarneau, Lausanne-Sport",SUI
Lorena Barth,/en/players/e3ada2f4/Lorena-Barth,True,2022-2024,GK,FC Aarau,SUI
Lorena Bärtschi,/en/players/5e7c6ce9/Lorena-Bartschi,True,2022-2024,DF,BSC YB Frauen,SUI
Noussayr Batbout,/en/players/12f21298/Noussayr-Batbout,True,2017-2018,MF,Eintracht Braunschweig U17,SUI
Larina Baumann,/en/players/3c253cd0/Larina-Baumann,True,2021-2024,DF,St. Gallen-Staad,SUI
Lorena Baumann,/en/players/0b4a781e/Lorena-Baumann,True,2017-2024,DF,"Newcastle Jets, Zürich, St. Gallen-Staad",SUI
Mischa Beeli,/en/players/5f3016be/Mischa-Beeli,True,2020-2024,DF,St. Gallen,SUI
Nassim Ben Khalifa,/en/players/b5902f7f/Nassim-Ben-Khalifa,True,2008-2023,"FW,MF","Grasshopper, Sanfrecce Hiroshima, St. Gallen, Lausanne-Sport, Young Boys, Eskişehirspor, Mechelen",SUI
Iman Beney,/en/players/b7906363/Iman-Beney,True,2022-2023,FW,BSC YB Frauen,SUI
Roméo Beney,/en/players/94632f95/Romeo-Beney,True,2022-2024,FW,Basel,SUI
Loris Benito,/en/players/f5b6fb78/Loris-Benito,True,2009-2024,DF,"Young Boys, Switzerland, Bordeaux, Zürich, Sion, Aarau, Benfica",SUI
Noemi Benz,/en/players/ab257885/Noemi-Benz,True,2020-2024,GK,"Zürich, Switzerland, FC Aarau",SUI
Serif Berbic,/en/players/c05793f0/Serif-Berbic,True,2022-2024,GK,Lugano,SUI
Théo Berdayes,/en/players/80097392/Theo-Berdayes,True,2020-2022,FW,Sion,SUI
Vanessa Bernauer,/en/players/ec652617/Vanessa-Bernauer,True,2015-2024,MF,"Zürich, AS Roma, Switzerland, Wolfsburg",SUI
Karin Bernet,/en/players/895c5414/Karin-Bernet,True,2016-2024,MF,"St. Gallen-Staad, Zürich",SUI
Evan Berrut,/en/players/e945e056/Evan-Berrut,True,2022-2023,MF,,SUI
Leonardo Bertone,/en/players/2e06f387/Leonardo-Bertone,True,2011-2022,MF,"Young Boys, Waasland-Beveren, FC Cincinnati, Thun",SUI
Alessio Besio,/en/players/f36dc0a4/Alessio-Besio,True,2020-2024,FW,"SC Freiburg II, St. Gallen",SUI
Joel Bichsel,/en/players/0fb7e559/Joel-Bichsel,True,2022-2024,DF,SC Freiburg II,SUI
Alena Bienz,/en/players/14f0f5e7/Alena-Bienz,True,2022-2025,MF,"Köln, Switzerland",SUI
Céline Bigler,/en/players/e17e1d83/Celine-Bigler,True,2023-2024,MF,Thun Berner-Oberland,SUI
Kim Bircher,/en/players/6c14eef9/Kim-Bircher,True,2022-2023,GK,,SUI
Uran Bislimi,/en/players/f7760f0d/Uran-Bislimi,True,2022-2024,MF,"Lugano, Switzerland",SUI
Noah Blasucci,/en/players/738b442c/Noah-Blasucci,True,2017-2023,FW,,SUI
Michelle Blöchlinger,/en/players/eac3df82/Michelle-Blochlinger,True,2021-2024,DF,"Freiburg, Grasshopper",SUI
Lewin Blum,/en/players/c8ccc39e/Lewin-Blum,True,2021-2024,DF,Young Boys,SUI
Luisa Blumenthal,/en/players/97f87130/Luisa-Blumenthal,True,2022-2024,MF,Zulte Waregem,SUI
Tanja Bodenmann,/en/players/fba57ba9/Tanja-Bodenmann,True,2021-2023,FW,FC Yverdon,SUI
Mihailo Bogicevic,/en/players/cf21165c/Mihailo-Bogicevic,True,2021-2024,DF,Spartak Subotica,SUI
Nadine Böhi,/en/players/97b71cef/Nadine-Bohi,True,2021-2025,GK,St. Gallen-Staad,SUI
Liam Bollati,/en/players/1be8d63d/Liam-Bollati,True,2023-2024,DF,Grasshopper,SUI
Kim Bollmann,/en/players/78687b17/Kim-Bollmann,True,2021-2024,GK,St. Gallen-Staad,SUI
Winsley Boteli,/en/players/6198ee34/Winsley-Boteli,True,2022-2024,FW,"Mönchengladbach U19, Mönchengladbach U17",SUI
Mattia Bottani,/en/players/cd0ecf81/Mattia-Bottani,True,2015-2024,"FW,MF",Lugano,SUI
Yanick Brecher,/en/players/6115fddd/Yanick-Brecher,True,2012-2024,GK,Zürich,SUI
Stephanie Brecht,/en/players/e33d1987/Stephanie-Brecht,True,2021-2024,FW,St. Gallen-Staad,SUI
Luuk Breedijk,/en/players/b4e102f4/Luuk-Breedijk,True,2022-2024,MF,Luzern,SUI
Bettina Brülhart,/en/players/5d75195d/Bettina-Brulhart,True,2021-2024,DF,FC Luzern Frauen,SUI
Cédric Brunner,/en/players/f0a37d36/Cedric-Brunner,True,2014-2024,"DF,MF","Schalke 04, Arminia Bielefeld, Zürich",SUI
Jana Brunner,/en/players/f73a56d2/Jana-Brunner,True,2017-2024,DF,"St. Gallen-Staad, Switzerland",SUI
Kevin Bua,/en/players/a4f642c5/Kevin-Bua,True,2015-2023,MF,"Basel, Sion, Zürich, Leganés",SUI
Damien Buchard,/en/players/af370c98/Damien-Buchard,True,2017-2021,GK,,SUI
Roman Buess,/en/players/e7ecff32/Roman-Buess,True,2011-2024,"FW,MF","FC Winterthur, St. Gallen, Thun",SUI
