Name,url,Active,Years Played,Position,Clubs Played,IOC
Ladislav Almási,/en/players/987f9bd3/Ladislav-Almasi,True,2020-2024,FW,"Baník Ostrava, Osijek, Slovakia, Akhmat Grozny",SVK
Marína Anna Štefániková,/en/players/40b7ea08/Marina-Anna-Stefanikova,True,2025,GK,,SVK
Pavol Bajza,/en/players/c285b2fc/Pavol-Bajza,True,2012-2024,GK,"Hradec Králové, Vejle BK, Karviná, Slovácko, Crotone, Parma",SVK
Filip Balaj,/en/players/63a5770a/Filip-Balaj,True,2021-2023,FW,"Fastav Zlín, Cracovia",SVK
Damián Bariš,/en/players/4e620842/Damian-Baris,True,2020-2021,MF,Zbrojovka Brno,SVK
Marek Bartoš,/en/players/e7a23128/Marek-Bartos,True,2024,DF,Slovakia,SVK
Diana Bartovičová,/en/players/c75e3de9/Diana-Bartovicova,True,2016-2025,"DF,MF","Slavia Prague, Slovakia",SVK
Denis Baumgartner,/en/players/976f1159/Denis-Baumgartner,True,2016-2017,MF,,SVK
Samuel Bednár,/en/players/73d7b7fc/Samuel-Bednar,True,2023-2024,MF,Teplice,SVK
Matúš Begala,/en/players/512f748b/Matus-Begala,True,2023-2024,MF,PAS Giannina,SVK
László Bénes,/en/players/fe888e39/Laszlo-Benes,True,2014-2024,MF,"Hamburger SV, Slovakia, Borussia Mönchengladbach, Holstein Kiel, Augsburg",SVK
Ján Bernát,/en/players/c2895855/Jan-Bernat,True,2021-2024,MF,"Westerlo, FC Spartak Trnava",SVK
Matúš Bero,/en/players/b5e0af76/Matus-Bero,True,2016-2024,"FW,MF","Slovakia, Bochum, Vitesse, Trabzonspor",SVK
Laura Bieliková,/en/players/8ce19006/Laura-Bielikova,True,2023,MF,,SVK
Alexandra Bíróová,/en/players/aed2ca5a/Alexandra-Biroova,True,2016-2025,"DF,MF","St. Pölten, Slovakia",SVK
Patrik Blahút,/en/players/d10dd523/Patrik-Blahut,True,2023-2024,MF,Slovácko,SVK
Filip Blažek,/en/players/31577e3c/Filip-Blazek,True,2017-2024,MF,Baník Ostrava,SVK
Andrea Bogorová,/en/players/8e18d7a0/Andrea-Bogorova,True,2021-2023,FW,Landhaus,SVK
Róbert Boženík,/en/players/ba6cf633/Robert-Bozenik,True,2019-2024,FW,"Boavista, Slovakia, Feyenoord, Düsseldorf",SVK
Rudolf Božík,/en/players/2eee3aab/Rudolf-Bozik,True,2023-2024,FW,ŠK Slovan Bratislava,SVK
Viktor Budinský,/en/players/5737ef29/Viktor-Budinsky,True,2016-2024,GK,"FK Pardubice, Baník Ostrava, Bohemians 1905",SVK
Martin Bukata,/en/players/e4421abd/Martin-Bukata,True,2015-2024,MF,"FC Spartak Trnava, Piast Gliwice, Karviná",SVK
Roman Čerepkai,/en/players/c0cb6f53/Roman-Cerepkai,True,2022-2024,FW,Teplice,SVK
Viktória Čeriová,/en/players/c050f3e3/Viktoria-Ceriova,True,2021-2025,DF,Slovakia,SVK
Adrián Čermák,/en/players/a1c3d96e/Adrian-Cermak,True,2020-2021,MF,Zbrojovka Brno,SVK
Patrícia Chládeková,/en/players/20a4517c/Patricia-Chladekova,True,2019-2025,GK,"Wacker Innsbruck, Slovakia",SVK
Adrián Chovan,/en/players/a1e3e773/Adrian-Chovan,True,2021-2024,GK,"Panserraikos, ŠK Slovan Bratislava",SVK
Martin Chrien,/en/players/c4a60418/Martin-Chrien,True,2014-2022,MF,"Mezőkövesd, Zbrojovka Brno, CD Santa Clara, České Budějovice, Viktoria Plzeň",SVK
Martin Chudý,/en/players/1c0ddebb/Martin-Chudy,True,2014-2021,GK,"Górnik Zabrze, Teplice, Dukla Prague, Spartak Trnava",SVK
Juraj Chvátal,/en/players/df8fbb4c/Juraj-Chvatal,True,2014-2024,"DF,MF","Sigma Olomouc, Slovácko",SVK
Lukáš Čmelík,/en/players/dcb928de/Lukas-Cmelik,True,2016-2024,"FW,MF","České Budějovice, Hradec Králové, Karviná",SVK
Matúš Čonka,/en/players/2233ef48/Matus-Conka,True,2011-2020,DF,"Slavia Prague, Karviná, Spartak Trnava",SVK
Matej Čurma,/en/players/b1d1d5fc/Matej-Curma,True,2023-2024,DF,Karviná,SVK
