Name,url,Active,Years Played,Position,Clubs Played,IOC
Sara Agrež,/en/players/f4321ccd/Sara-Agrez,True,2019-2025,DF,"Köln, Wolfsburg, Turbine Potsdam, Slovenia",SVN
Sabur Ali,/en/players/62bd473c/Sabur-Ali,True,2023-2024,FW,Rudeš,SVN
Nika Babnik,/en/players/f5d51875/Nika-Babnik,True,2019-2023,FW,"Tavagnacco, Wacker Innsbruck, San Marino, Slovenia",SVN
Gregor Bajde,/en/players/ae8ec371/Gregor-Bajde,True,2016-2018,"FW,MF","Novara, NK Maribor",SVN
Kenan Bajrić,/en/players/83d961d1/Kenan-Bajric,True,2019-2024,DF,"ŠK Slovan Bratislava, Slovenia",SVN
Jure Balkovec,/en/players/1a787ee8/Jure-Balkovec,True,2017-2024,"DF,MF","Alanyaspor, Slovenia, Fatih Karagümrük, Empoli, Hellas Verona, Bari",SVN
Maks Barišič,/en/players/887a997a/Maks-Barisic,True,2014-2019,FW,Catania,SVN
Tjaš Begić,/en/players/7429c2bf/Tjas-Begic,True,2023-2024,MF,Parma,SVN
Vid Belec,/en/players/4f8ce0e1/Vid-Belec,True,2010-2024,GK,"Slovenia, Salernitana, Carpi, Crotone, Olhanense, Konyaspor, Benevento, APOEL FC",SVN
Žan Benedičič,/en/players/8f316235/Zan-Benedicic,True,2014-2017,MF,"Ascoli, Como",SVN
Robert Berić,/en/players/9001138b/Robert-Beric,True,2011-2024,FW,"Changchun Yatai, Saint-Étienne, Chicago Fire, Tianjin Jinmen Tiger, Rapid Wien, Sturm Graz, Slovenia",SVN
Jaka Bijol,/en/players/6fdac234/Jaka-Bijol,True,2018-2024,"DF,MF","Udinese, Slovenia, CSKA Moscow, Hannover 96",SVN
Viktoria Bittendorfer,/en/players/fd98faaf/Viktoria-Bittendorfer,True,2020-2021,MF,SV Horn,SVN
Lovro Bizjak,/en/players/b8e96ebf/Lovro-Bizjak,True,2018-2021,FW,Ufa,SVN
Miha Blažič,/en/players/3cdfc63e/Miha-Blazic,True,2017-2024,DF,"Slovenia, Lech Poznań, Ferencváros, Angers",SVN
Matija Boben,/en/players/418fdf44/Matija-Boben,True,2017-2024,DF,"CFR Cluj, Livorno, Ternana, Rostov",SVN
Damjan Bohar,/en/players/4d1cea6a/Damjan-Bohar,True,2013-2024,MF,"Zagłębie Lubin, Osijek, NK Maribor, Slovenia",SVN
David Bosilj,/en/players/ef3ff984/David-Bosilj,True,2021-2024,FW,De Graafschap,SVN
Marko Božič,/en/players/3819dc07/Marko-Bozic,True,2019-2022,MF,,SVN
Tomaz Brdik,/en/players/cb603688/Tomaz-Brdik,True,2023-2024,MF,Slaven Belupo,SVN
David Brekalo,/en/players/fd594b15/David-Brekalo,True,2021-2024,DF,"Slovenia, Orlando City, Viking",SVN
