Name,url,Active,Years Played,Position,Clubs Played,IOC
Yusuf Abdioğlu,/en/players/51e70d02/Yusuf-Abdioglu,True,2020-2021,DF,Hatayspor,TUR
Sejde Abrahamsson,/en/players/80f45e75/Sejde-Abrahamsson,True,2017-2025,MF,"Club Brugge, Türkiye, Hammarby, Piteå, Napoli, KIF Örebro",TUR
Mustafa Acar,/en/players/01416203/Mustafa-Acar,True,2019-2020,MF,,TUR
Tolgahan Acar,/en/players/a083ed49/Tolgahan-Acar,True,2003-2020,GK,"Sivasspor, Denizlispor, Gaziantepspor",TUR
Yusuf Acer,/en/players/50e8f3ac/Yusuf-Acer,True,2019-2020,DF,,TUR
Mertcan Açıkgöz,/en/players/ff9b508f/Mertcan-Acikgoz,True,2019-2020,MF,,TUR
Tuğay Adamcıl,/en/players/7014b7cd/Tugay-Adamcil,True,2014-2015,MF,,TUR
Hasan Adigüzel,/en/players/0244ef1c/Hasan-Adiguzel,True,2016-2019,MF,Akhisar Belediyespor,TUR
Übeyd Adıyaman,/en/players/9f49025d/Ubeyd-Adiyaman,True,2014-2021,GK,Gençlerbirliği,TUR
Cenk Ahmet Alkılıç,/en/players/718972a2/Cenk-Ahmet-Alkilic,True,2013-2021,"DF,MF","Kayseri Erciyesspor, Alanyaspor, Erzurum BB, İstanbul Başakşehir, Çaykur Rizespor",TUR
Muhammed Akarslan,/en/players/051a0cad/Muhammed-Akarslan,True,2013-2015,MF,,TUR
Samet Akaydın,/en/players/7328bee5/Samet-Akaydin,True,2021-2024,DF,"Fenerbahçe, Panathinaikos, Türkiye, Adana Demirspor",TUR
Emre Akbaba,/en/players/7230b807/Emre-Akbaba,True,2015-2024,"FW,MF","Adana Demirspor, Türkiye, Alanyaspor, Galatasaray, Antalyaspor",TUR
Mustafa Akbaş,/en/players/9a40f1b3/Mustafa-Akbas,True,2013-2021,DF,"Trabzonspor, Yeni Malatyaspor, Kayserispor, Gençlerbirliği",TUR
Abdulcebrail Akbulut,/en/players/0d0b9900/Abdulcebrail-Akbulut,True,2018-2020,DF,,TUR
Arda Akbulut,/en/players/74ed57e4/Arda-Akbulut,True,2017-2022,GK,Trabzonspor,TUR
Yusuf Akbulut,/en/players/d86ee9f9/Yusuf-Akbulut,True,2017-2018,MF,Kardemir Karabükspor,TUR
Halil Akbunar,/en/players/88e9f529/Halil-Akbunar,True,2017-2024,MF,"Pendikspor, Göztepe, Westerlo",TUR
Murat Akça,/en/players/4af5ef8e/Murat-Akca,True,2011-2024,DF,"Pendikspor, Kardemir Karabükspor, Altay, Sivasspor, Yeni Malatyaspor",TUR
Artun Akçakın,/en/players/42df7d8c/Artun-Akcakin,True,2012-2015,FW,Gençlerbirliği,TUR
Yusuf Akçiçek,/en/players/879aca3f/Yusuf-Akcicek,True,2023-2024,DF,Fenerbahçe,TUR
Ali Akdag,/en/players/5f064629/Ali-Akdag,True,2020-2023,FW,"Berliner AK U19, Viktoria Berlin U19, Hertha BSC U17",TUR
İbrahim Akdağ,/en/players/fc8900d7/Ibrahim-Akdag,True,2018-2024,MF,"Pendikspor, Sivasspor, BB Erzurumspor, Kayserispor, Ankaragücü",TUR
Erdal Akdarı,/en/players/094541be/Erdal-Akdari,True,2012-2017,DF,Kayserispor,TUR
Uğur Akdemir,/en/players/03044669/Ugur-Akdemir,True,2014-2015,DF,Balıkesirspor,TUR
Selda Akgöz,/en/players/31bd34e6/Selda-Akgoz,True,2017-2025,GK,Türkiye,TUR
Oğuzhan Akgün,/en/players/571ef376/Oguzhan-Akgun,True,2018-2024,MF,Beşiktaş,TUR
Sefa Akgün,/en/players/212a551c/Sefa-Akgun,True,2018-2019,MF,,TUR
Yunus Akgün,/en/players/1453e3cf/Yunus-Akgun,True,2018-2024,MF,"Galatasaray, Leicester City, Türkiye, Adana Demirspor",TUR
Gökhan Akkan,/en/players/3587cb86/Gokhan-Akkan,True,2015-2024,GK,"Rizespor, Ankaragücü",TUR
Gökhan Akkan,/en/players/ec49cc4f/Gokhan-Akkan,True,2015-2019,GK,Mersin İdmanyurdu,TUR
Kaan Akkaya,/en/players/ba13da5e/Kaan-Akkaya,True,2023-2024,MF,TSG Balingen,TUR
Ali Akman,/en/players/d9a0abd6/Ali-Akman,True,2018-2024,FW,"Dender, NEC Nijmegen",TUR
Efe Akman,/en/players/6b665cf6/Efe-Akman,True,2023-2024,MF,Galatasaray,TUR
Hamza Akman,/en/players/7d7b0a55/Hamza-Akman,True,2022-2024,MF,Galatasaray,TUR
Teoman Akmestanlı,/en/players/aa29309f/Teoman-Akmestanli,True,2018-2021,DF,"Nürnberg U17, Magdeburg U19",TUR
Muhammet Akpınar,/en/players/cc55da2a/Muhammet-Akpinar,True,2019-2020,FW,Trabzonspor,TUR
Murat Akşit,/en/players/9853d6e5/Murat-Aksit,True,2019-2024,GK,Pendikspor,TUR
Engin Aksoy,/en/players/accd6cbe/Engin-Aksoy,True,2021-2024,MF,Hatayspor,TUR
Fatih Aksoy,/en/players/c6e7789b/Fatih-Aksoy,True,2016-2024,"DF,MF","Alanyaspor, Sivasspor, Beşiktaş",TUR
Oğuz Aksoy,/en/players/8ad3762b/Oguz-Aksoy,True,2014-2015,MF,,TUR
Aksel Aktas,/en/players/b96951d7/Aksel-Aktas,True,2016-2021,MF,"Kayserispor, Fatih Karagümrük, Sochaux",TUR
Kubilay Aktaş,/en/players/e52f5563/Kubilay-Aktas,True,2013-2021,MF,"Denizlispor, Kasımpaşa, Gaziantep FK",TUR
Orhan Aktaş,/en/players/f249bacc/Orhan-Aktas,True,2014-2015,DF,"Husqvarna, Haskovo",TUR
Can Aktav,/en/players/5f6eb12f/Can-Aktav,True,2016-2017,DF,,TUR
Kerem Aktürkoğlu,/en/players/f28659fb/Kerem-Akturkoglu,True,2020-2024,MF,"Galatasaray, Türkiye",TUR
Kerem Akyüz,/en/players/cfa6b43b/Kerem-Akyuz,True,2014-2020,"DF,GK",,TUR
Mehmet Akyüz,/en/players/8a96262e/Mehmet-Akyuz,True,2007-2020,FW,"Çaykur Rizespor, Akhisar Belediyespor, Beşiktaş, Denizlispor, Gençlerbirliği",TUR
Mert Akyüz,/en/players/d41c83c8/Mert-Akyuz,True,2015-2017,GK,Adanaspor,TUR
Enes Albak,/en/players/dc242329/Enes-Albak,True,2023-2024,DF,Samsunspor,TUR
Burak Albayrak,/en/players/4cf01812/Burak-Albayrak,True,2018-2021,DF,Rizespor,TUR
Eren Albayrak,/en/players/b02a8b91/Eren-Albayrak,True,2007-2022,"DF,MF","Çaykur Rizespor, Antalyaspor, İstanbul Başakşehir, Konyaspor, Júbilo Iwata, Bursaspor",TUR
Mehmet Albayrak,/en/players/5076fdad/Mehmet-Albayrak,True,2021-2024,MF,Sivasspor,TUR
Mücahit Albayrak,/en/players/4eedec0c/Mucahit-Albayrak,True,2020-2021,DF,Erzurum BB,TUR
Doğan Alemdar,/en/players/9e17ccff/Dogan-Alemdar,True,2018-2024,GK,"Troyes, Kayserispor, Rennes",TUR
Mehmet Ali Büyüksayar,/en/players/faf82111/Mehmet-Ali-Buyuksayar,True,2022-2024,FW,Konyaspor,TUR
Hasan Ali Kaldırım,/en/players/edd38473/Hasan-Ali-Kaldirim,True,2009-2024,DF,"Kayserispor, Fenerbahçe, İstanbul Başakşehir, Türkiye, Ankaragücü",TUR
Samed Ali Kaya,/en/players/6e58af31/Samed-Ali-Kaya,True,2015-2019,FW,"BB Erzurumspor, Göztepe",TUR
Muhammet Ali Özbaskıcı,/en/players/31bba076/Muhammet-Ali-Ozbaskici,True,2023-2024,MF,Samsunspor,TUR
Ömer Ali Şahiner,/en/players/2b59d76f/Omer-Ali-Sahiner,True,2013-2024,"DF,MF","İstanbul Başakşehir, Konyaspor",TUR
Selçuk Alibaz,/en/players/d52d969f/Selcuk-Alibaz,True,2008-2018,MF,"Karlsruher, Jahn Regensburg, Fortuna Köln, Hansa Rostock, Erzgebirge Aue, Konyaspor",TUR
Barış Alıcı,/en/players/41b9d0c0/Baris-Alici,True,2018-2021,MF,"Westerlo, Fenerbahçe, Rizespor, Yeni Malatyaspor",TUR
Kerim Alıcı,/en/players/50df83f7/Kerim-Alici,True,2020-2024,DF,"Hatayspor, Göztepe",TUR
Ziya Alkurt,/en/players/4fa66b08/Ziya-Alkurt,True,2019-2020,FW,Kayserispor,TUR
Barış Alper Yılmaz,/en/players/414b2ce4/Baris-Alper-Yilmaz,True,2021-2024,MF,"Galatasaray, Türkiye",TUR
Gökhan Alsan,/en/players/935b15ff/Gokhan-Alsan,True,2013-2020,MF,,TUR
Taha Altıkardeş,/en/players/3871f0ee/Taha-Altikardes,True,2021-2023,MF,Trabzonspor,TUR
Mahmut Altınkaya,/en/players/aa649de1/Mahmut-Altinkaya,True,2018-2020,MF,,TUR
Batuhan Altıntaş,/en/players/362269ee/Batuhan-Altintas,True,2012-2018,FW,"Kasımpaşa, Bursaspor, Yeni Malatyaspor",TUR
Hüseyin Altıntaş,/en/players/3743f925/Huseyin-Altintas,True,2019-2021,GK,Denizlispor,TUR
Burak Altıparmak,/en/players/7f47e31f/Burak-Altiparmak,True,2015-2016,MF,Magdeburg,TUR
Hüseyin Altuğ Taş,/en/players/f84d1a39/Huseyin-Altug-Tas,True,2014-2016,"FW,MF",İstanbul Başakşehir,TUR
Metehan Altunbaş,/en/players/1a915382/Metehan-Altunbas,True,2020-2021,FW,LASK,TUR
Erkan Anapa,/en/players/9de0787b/Erkan-Anapa,True,2022-2023,GK,,TUR
Seyfettin Anıl Yaşar,/en/players/214eb160/Seyfettin-Anil-Yasar,True,2021-2024,DF,Rizespor,TUR
Taylan Antalyalı,/en/players/4374d81c/Taylan-Antalyali,True,2014-2024,MF,"Samsunspor, Galatasaray, BB Erzurumspor, Ankaragücü, Türkiye",TUR
Alp Arda,/en/players/a2d7b568/Alp-Arda,True,2022-2024,GK,İstanbulspor,TUR
Efe Arda Koyuncu,/en/players/82e0f17c/Efe-Arda-Koyuncu,True,2021-2023,DF,,TUR
Derya Arhan,/en/players/ce2af083/Derya-Arhan,True,2019-2025,DF,Türkiye,TUR
Muhammed Arikan,/en/players/7a18f307/Muhammed-Arikan,True,2020-2024,MF,Kayserispor,TUR
Hakan Arslan,/en/players/2429a3ec/Hakan-Arslan,True,2014-2024,"DF,MF",Sivasspor,TUR
Işık Arslan,/en/players/524f20c8/Isik-Arslan,True,2019-2022,DF,,TUR
Muhammet Arslantaş,/en/players/19c8b5d1/Muhammet-Arslantas,True,2019-2023,FW,İstanbul Başakşehir,TUR
Batuhan Artarslan,/en/players/cdf75ae5/Batuhan-Artarslan,True,2017-2019,MF,Trabzonspor,TUR
