Name,url,Active,Years Played,Position,Clubs Played,IOC
Abdulla Abdullaiev,/en/players/d57bf319/Abdulla-Abdullaiev,True,2022-2024,FW,FK Metalist 1925 Kharkiv,UKR
Yehor Abramov,/en/players/b7290e03/Yehor-Abramov,True,2022-2023,MF,,UKR
Volodymyr Adamyuk,/en/players/eeba2b90/Volodymyr-Adamyuk,True,2015-2024,DF,"SC Dnipro-1, FK L'viv, FC Dnipro, Veres Rivne, Stal Dniprodzerzhynsk",UKR
Daniil Alefirenko,/en/players/05ccb628/Daniil-Alefirenko,True,2020-2024,MF,"Zorya Luhansk, Chornomorets Odesa",UKR
Akhmed Alibekov,/en/players/9deaa88c/Akhmed-Alibekov,True,2017-2023,MF,"Slovan Liberec, FC Lviv, Dynamo Kyiv, Zorya Luhansk",UKR
Andrii Andreychuk,/en/players/c2e31208/Andrii-Andreychuk,True,2022-2024,FW,FC Oleksandriya,UKR
Oleksandr Andriyevskyi,/en/players/4e3f5992/Oleksandr-Andriyevskyi,True,2011-2024,MF,"Dynamo Kyiv, Chornomorets Odesa, Zorya Luhansk",UKR
Veronika Andrukhiv,/en/players/be6cb94d/Veronika-Andrukhiv,True,2017-2025,MF,Ukraine,UKR
Maksym Andrushchenko,/en/players/69b48a4c/Maksym-Andrushchenko,True,2020-2021,MF,,UKR
Denys Antiukh,/en/players/a8b7abb5/Denys-Antiukh,True,2019-2024,MF,"Zorya Luhansk, FC Kolos Kovalivka, Dynamo Kyiv",UKR
Daryna Apanashchenko,/en/players/429de706/Daryna-Apanashchenko,True,2009-2025,"FW,MF","Ukraine, Zhytlobud-1, Zvezda Perm",UKR
Kyrylo Arkhypchuk,/en/players/66b15a1b/Kyrylo-Arkhypchuk,True,2022-2023,GK,,UKR
Husol Artem,/en/players/b649b4bd/Husol-Artem,True,2022-2024,FW,FC Kolos Kovalivka,UKR
Levan Arveladze,/en/players/72e19100/Levan-Arveladze,True,2018-2022,MF,"Desna Chernihiv, Zorya Luhansk",UKR
Alan Aussi,/en/players/f59f6d5c/Alan-Aussi,True,2023-2024,DF,"CFR Cluj, Ponferradina",UKR
Artur Avahimian,/en/players/41434f33/Artur-Avahimian,True,2021-2024,MF,"Chornomorets Odesa, FC Oleksandriya",UKR
Maksym Averyanov,/en/players/a6b8868d/Maksym-Averyanov,True,2014-2018,MF,Zirka Kropyvnytskyi,UKR
Oleksii Avramenko,/en/players/2fefa08a/Oleksii-Avramenko,True,2023-2024,DF,SC Dnipro-1,UKR
Oleksandr Azatskyi,/en/players/524cfa15/Oleksandr-Azatskyi,True,2011-2021,DF,"Chornomorets Odesa, Fastav Zlín, Baník Ostrava",UKR
Fedir Babak,/en/players/ae656993/Fedir-Babak,True,2022-2024,MF,Paderborn 07 U19,UKR
Ruslan Babenko,/en/players/816cdcbb/Ruslan-Babenko,True,2010-2024,MF,"SC Dnipro-1, Chornomorets Odesa, Raków Częstochowa, Olimpik Donetsk, Zorya Luhansk, Bodø/Glimt, Voly",UKR
Illia Babishchevych,/en/players/7f330acb/Illia-Babishchevych,True,2023-2024,MF,Blumenthaler U17,UKR
Maksym Babiychuk,/en/players/c65e4293/Maksym-Babiychuk,True,2014-2016,GK,Metalurh Zaporizhya,UKR
Illia Badenko,/en/players/f32bbc4d/Illia-Badenko,True,2023-2024,MF,SC Dnipro-1,UKR
Maksym Bagachanskyi,/en/players/a1ad0218/Maksym-Bagachanskyi,True,2022-2023,FW,FK Metalist Kharkiv,UKR
Anton Baidal,/en/players/acf4a433/Anton-Baidal,True,2019-2023,FW,"FK Mynai, FC Mariupol",UKR
Denys Balan,/en/players/ed50157a/Denys-Balan,True,2017-2024,DF,"Veres Rivne, FK Inhulets, Chornomorets Odesa",UKR
Denys Balanyuk,/en/players/b99ecdab/Denys-Balanyuk,True,2014-2023,MF,"Dnipro Dnipropetrovsk, FC Spartak Varna, Wisła Kraków, Olimpik Donetsk, Arsenal-Kyiv",UKR
Yevhen Banada,/en/players/6993fcc8/Yevhen-Banada,True,2015-2024,MF,"Veres Rivne, FK LNZ-Lebedyn, FC Oleksandriya, Kryvbas Kryvyi Rih",UKR
Oleksandr Bandura,/en/players/dd2d5f05/Oleksandr-Bandura,True,2008-2024,GK,"FK Mynai, Metalurh Donetsk, FK L'viv, Veres Rivne, Рух, Stal Kamianske, Tavriya Simferopol",UKR
Rostyslav Baran,/en/players/43e28902/Rostyslav-Baran,True,2023-2024,MF,Veres Rivne,UKR
Denys Barchenko,/en/players/fb68e3f5/Denys-Barchenko,True,2023-2024,GK,Shakhtar Donetsk,UKR
Olha Basanska,/en/players/589d9498/Olha-Basanska,True,2017-2025,DF,"Ukraine, Zhytlobud-1",UKR
Serhiy Basov,/en/players/01dd9f3e/Serhiy-Basov,True,2015-2018,DF,FC Oleksandriya,UKR
Arsenii Batahov,/en/players/38eb1b19/Arsenii-Batahov,True,2019-2024,DF,"Zorya Luhansk, SC Dnipro-1",UKR
Andriy Batsula,/en/players/f89ba39d/Andriy-Batsula,True,2016-2024,"DF,MF","Vorskla Poltava, FC Oleksandriya, Zirka Kropyvnytskyi, Kortrijk",UKR
Oleksandr Batyschev,/en/players/f290b2ff/Oleksandr-Batyschev,True,2011-2012,MF,Zorya Luhansk,UKR
Nazar Bayruk,/en/players/ee1ea96c/Nazar-Bayruk,True,2022-2024,FW,Zorya Luhansk,UKR
Yaroslav Bazaev,/en/players/e9afa1cc/Yaroslav-Bazaev,True,2023-2024,MF,FC Oleksandriya,UKR
Bohdan Bekliak,/en/players/1619cb4c/Bohdan-Bekliak,True,2020-2022,DF,"FK Mynai, Olimpik Donetsk",UKR
Oleksandr Beliaev,/en/players/e55045e6/Oleksandr-Beliaev,True,2019-2023,FC Lviv,,UKR
